"No.","Date","Genre","Bibl","ContextBefore","Hit","ContextAfter"
"1","1930-12-31","Belletristik","Johst, Hanns: Die Torheit einer Liebe, München: Langen Müller 1942 [1930], S. 218","Ich sehe das Profil der","kleinen","Frau."
"2","1902-12-31","Belletristik","Suttner, Bertha von: Martha's Kinder. In: Deutsche Literatur von Frauen, Berlin: Directmedia Publ. 2001 [1902], S. 69753","Daß sie die große Dame, er ein eigentlich noch unbekannter Literat und gesellschaftlich unbedeutender Mensch war, kam ihr gar nicht zum Bewußtsein - er war der Gottbegnadete, der Anwärter auf die Strahlenkrone des Ruhms - sie eine einfache,","unbedeutende","Frau."
"3","1960-12-31","Belletristik","Walser, Martin: Halbzeit, Frankfurt a. M.: Suhrkamp 1997 [1960], S. 408","Sie übertreiben,","gnädige","Frau."
"4","1915-12-31","Belletristik","Boy-Ed, Ida: Vor der Ehe. In: Deutsche Literatur von Frauen, Berlin: Directmedia Publ. 2001 [1915], S. 8257","Ganz einfach: der leidende Teil sind wir, jawohl, das sind wir, mag uns unser Verstand noch so viel Einsichtsvolles vorpredigen, daß das edel und groß und nötig sei, was viele von diesen rastlosen,","aufopferungsfähigen","Frauen tun."
"5","1909-12-31","Wissenschaft","Meisel-Hess, Grete: Die sexuelle Krise. In: Lehmstedt, Mark (Hg.) Deutsche Literatur von Frauen, Berlin: Directmedia Publ. 2001 [1909], S. 49455","Und jener Männer, die die Persönlichkeit gerade der","höheren","Frau nicht einmal zu ahnen, geschweige denn zu »erkennen« und damit zu genießen verstehen, ist eine große Zahl."
"6","1901-12-31","Gebrauchsliteratur","Baudissin, Wolf von u. Baudissin, Eva von: Spemanns goldenes Buch der Sitte. In: Zillig, Werner (Hg.), Gutes Benehmen, Berlin: Directmedia Publ. 2004 [1901], S. 1859","So frage nur bei","edlen","Frauen an."
"7","1905-12-31","Belletristik","Duncker, Dora: Jugend. In: Deutsche Literatur von Frauen, Berlin: Directmedia Publ. 2001 [1905], S. 18247","»Reisen Sie glücklich,","gnädige","Frau.«"
"8","1911-03-04","Zeitung","Vossische Zeitung (Morgen-Ausgabe), 04.03.1911","Traurig ist das Los einer von ihrem Manne getrennt","lebenden","Frau."
"9","1993-12-31","Wissenschaft","o. A.: Lexikon der Kunst - P. In: Olbrich, Harald (Hg.), Lexikon der Kunst, Berlin: Directmedia Publ. 2001 [1993], S. 24401","Etwa 15 Künstler wurden in den 1930er Jahren in Kairo ausgebildet, u.a. Abd ar-Razzaq Badran (* in Nablus), Dawud al-Gauni (* 1916 Jerusalem), Sarif Hudra (* 1917 Safad), als","erste","Frau Fatima al-Muhabb (* 1920 Jericho)."
"10","1912-12-31","Gebrauchsliteratur","Liliencron, Adda Freifrau von: Krieg und Frieden, Erinnerungen aus dem Leben einer Offiziersfrau. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1912], S. 45141","»Sie werden sich geirrt haben,","gnädige","Frau, denn wäre das der Fall, so hätte die Schädeldecke einen Sprung erhalten, und dann wäre der Verstand weg«, erklärte er."
"11","1926-12-31","Belletristik","Grimm, Hans: Volk ohne Raum, München: Langen 1932 [1926], S. 883","Nur war dieses andere Kind Melsene, nur war die ganz","junge","Frau in allem erstaunlich ernster und fester und herber."
"12","1935-12-31","Belletristik","Langhoff, Wolfgang: Die Moorsoldaten, Stuttgart: Verl. Neuer Weg 1978 [1935], S. 227","Dann marschierten unsere","tapferen","Frauen, uns allen winkend und Abschiedsworte zurufend, wieder zum Brückenkopf hin und fuhren im Omnibus davon. -"
"13","1950-12-31","Gebrauchsliteratur","Meißner, Hans-Otto: Man benimmt sich wieder, Giessen: Brühl 1950, S. 251","""Frau Winkler"" hätte hier völlig genügt, weil ja die","gute","Frau Müller selbst schon zehn Jahre lang Ende dreißig ist, also viel älter."
"14","1901-12-31","Gebrauchsliteratur","Baudissin, Wolf von u. Baudissin, Eva von: Spemanns goldenes Buch der Sitte. In: Zillig, Werner (Hg.), Gutes Benehmen, Berlin: Directmedia Publ. 2004 [1901], S. 2985","- Die Annahme also, daß die gelehrte oder","studierte","Frau alle Fähigkeiten einbüßt, glücklich zu sein und glücklich zu machen, wird nicht von allen klugen und bedeutenden Männern geteilt!"
"15","1926-12-31","Belletristik","Grimm, Hans: Volk ohne Raum, München: Langen 1932 [1926], S. 517","Sie lernten auch damals - wie fünfzehn Jahre nachher die gefangenen","deutschen","Frauen und Kinder von Lüderitzbucht - eine unbegreifliche englische Verächtlichkeit kennen, daß nämlich die Gefangenen in Schmutz und Würdelosigkeit hineingezwungen und tief eingetaucht wurden (was anderswo auch geschah), und daß über die in Schmutz Gestoßenen und im Schmutz Gehaltenen die Wärter und auch das Weibsvolk der Wärter und Wächter sich überhoben, als über eine von Hause aus schmutzige und verwahrloste Gemeinschaft (was nirgendwo anders je geschah und geschieht als bei den Franzosen, und die sind doch seit langem kein weißes Volk mehr)."
"16","1994-12-31","Wissenschaft","o. A.: Lexikon der Kunst - T. In: Olbrich, Harald (Hg.), Lexikon der Kunst, Berlin: Directmedia Publ. 2001 [1994], S. 35776","13. Luxuria (Unkeuschheit): umarmendes Paar;","nackte","Frau mit Spiegel und Zepter, mit Schlangen und Kröten bedeckt; Bock, Schwein, Bär als Reittier."
"17","1937-12-31","Belletristik","Klepper, Jochen: Der Vater, Gütersloh: Bertelsmann 1962 [1937], S. 325","Zur Stunde befand sie sich in der Propstei bei dem Patienten; und während er schlief, schrieb sie Briefe; Briefe nach England und sogar an die verbannte","liebste","Frau Hofmeisterin, die hübsche, respektlose, indiskrete Blasspiel."
"18","1970-12-31","Belletristik","Knef, Hildegard: Der geschenkte Gaul, Berlin: Ullstein 1999 [1970], S. 204","»Sieht mein Mann nicht wie Roosevelt aus?« fragte die schöne,","sanfte","Frau."
"19","1901-12-31","Gebrauchsliteratur","Gerling, Reinhold: Was muß man vor der Ehe von der Ehe wissen? In: ders., Das große Aufklärungswerk für Braut- und Eheleute, Dresden: Buchversand Gutenberg 1933 [1901], S. 308","Kein hartes, verletzendes Wort sollte die","schwangere","Frau von ihrem Manne hören, kein erbitternder oder gar verbitternder Gedanke durchblitze des Weibes Hirn und errege ihr Blut, denn es wird auf das werdende Kind seinen Einfluß nicht verfehlen."
"20","1955-12-31","Gebrauchsliteratur","Weber, Annemarie (Hg.), Die Hygiene der Schulbank, Wiesbaden: Falken-Verl. 1955, S. 484","Und daß wir an eine uns sehr gut bekannte Dame, die wir im täglichen Umgang schon ""Frau Schulze"" oder ""Fräulein Schulze"" anreden, auch ""","Liebe","Frau Schulze"" oder ""Liebes Fräulein Schulze"" schreiben, ist so selbstverständlich wie das ""Lieber Herr Müller"" für den langjährigen Nachbarn oder Kollegen."
"21","1903-12-31","Gebrauchsliteratur","Reile, Bonifaz (Hg.), Kneipp, Sebastian. Das große Kneippbuch, München: Beckstein 1939 [1903], S. 520","Das Volk ist am gesündesten, das die","gesündesten","Frauen und Mütter hat!"
"22","1902-12-31","Belletristik","Suttner, Bertha von: Martha's Kinder. In: Deutsche Literatur von Frauen, Berlin: Directmedia Publ. 2001 [1902], S. 69788","Freilich, kein schönes Los, eine","geschiedene","Frau zu sein."
"23","1910-12-31","Gebrauchsliteratur","May, Karl: Mein Leben und Streben, Selbstbiographie von Karl May, Bd. I. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1910], S. 46817","Diese arme, von Lebius in fast jeder Beziehung vollständig","ausgezogene","Frau ist nicht etwa die erste oder einzige geschiedene Frau, deren er sich bemächtigte, um seine Zwecke zu erreichen."
"24","1907-12-31","Belletristik","Meysenbug, Malwida von: Zu spät. In: Deutsche Literatur von Frauen, Berlin: Directmedia Publ. 2001 [1907], S. 50393","»Und welch schönen Einfluß können Sie auf sie haben, teure Ludmilla,« sagte Frau v. Sch..., »ich freue mich über nichts mehr für meine Söhne als über den Umgang mit edlen","gebildeten","Frauen."
"25","1994-12-31","Belletristik","Jentzsch, Kerstin: Seit die Götter ratlos sind, München: Heyne 1999 [1994], S. 379","""Guckt mal"", flötete Julia, ""das haben wir einer","alten","Frau abgekauft."""
"26","1905-12-31","Belletristik","Duncker, Dora: Jugend. In: Deutsche Literatur von Frauen, Berlin: Directmedia Publ. 2001 [1905], S. 18270","Eine","stattliche","Frau um das Ende der fünfzig trat ein."
"27","1943-12-31","Belletristik","Seghers, Anna: Transit, Gütersloh: Bertelsmann 1995 [1943], S. 91","Die kleine","dickliche","Frau war unzweifelhaft sein."
"28","1956-12-31","Wissenschaft","Bloch, Ernst: Das Prinzip Hoffnung Bd. 3, Berlin: Aufbau-Verl. 1956, S. 86","Gretchen ist nicht unwesentlicher, aber gewiß auch nicht wesentlicher als Helena; die Löwenwirtin in ""Hermann und Dorothea"", die","demeterhafte","Frau, ist - sofern man sich nicht einzig aufs Homerische in großer Dichtung versteht - nicht gestalthafter als selbst Makarie in den ""Wanderjahren"", die uranische Frau."
"29","1989-06-12","Gebrauchsliteratur","Nr. 2: Gespräch Kohl mit Gorbatschow vom 12. Juni 1989. In: Deutsche Einheit, Berlin: Directmedia Publ. 2000 [1989], S. 775","Seine Mutter sei eine sehr","einfache","Frau im Alter von 78 Jahren."
"30","1950-12-31","Belletristik","Horster, Hans-Ulrich [d.i. Rhein, Eduard]: Ein Herz spielt falsch, Köln: Lingen 1991 [1950], S. 456","»Sie haben ein ausgezeichnetes Gedächtnis,","gnädige","Frau!« sagt der Polizeimeister anerkennend."
"31","1902-12-31","Gebrauchsliteratur","Stettenheim, Julius: Der moderne Knigge. In: Zillig, Werner (Hg.) Gutes Benehmen, Berlin: Directmedia Publ. 2004 [1902], S. 15508","Es ist ja sehr traurig, bemitleidet zu werden, aber diesem Mitleid entgeht ja kein Mann, der eine halbwegs","haushälterische","Frau oder Wirtin hat, und solche hat wohl jeder."
"32","1938-12-31","Gebrauchsliteratur","Witkowski, Georg: Von Menschen und Büchern, Erinnerungen 1863-1933. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1938], S. 75080","Mit einer Wienerin, der","anmutigen","Frau Loewit- Ladner, die mir durch die Bücher und ihre kostbaren Miniaturen zur treuen Freundin wurde, will ich die Reihe schließen."
