"No.","Date","Genre","Bibl","ContextBefore","Hit","ContextAfter"
"1","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 16","Er hebt das Opernglas erneut, die Rolle kennt er, das Kostüm, die Maske, trotzdem erkennt er die","junge","Frau dort vorne nicht."
"2","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 38","Die","junge","Frau, der junge Mann, er wird sie überredet haben, oder überlistet, es sei ja ohnehin kern Film im Apparat."
"3","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 43","Von Anfang an gehörte auch der männliche Gegenpart allein zu ihr, nie hätte der Tenor einer","anderen","Frau verfallen dürfen, so wie die Sängerin ihm verfallen war."
"4","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 60","Auch seine","zweite","Frau wird immer ein Geheimnis bleiben."
"5","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 75","Wenn ihm Schwüre tatsächlich so wichtig wären, dann hätte er mit seinen Kindern zusammengehalten, statt seine","zweite","Frau ins Haus zu holen, die ihm jede Verbindung zu seiner Familie verbot."
"6","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 77","Ich habe nicht den Eindruck, daß mir die Eltern etwas verheimlichen wollen, aber mit jeder Erinnerung an unsere Großmutter gerät eine weitere Figur in den Blick, eine","namenlose","Frau, die unsere Familie auseinandergetrieben hat: die Alte."
"7","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 82","Die","zweite","Frau unseres Großvaters, das sagte uns nicht viel, zumal wir weder sie noch unseren Großvater je gesehen hatten."
"8","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 84","Oder die","geisteskranke","Frau, die am Rand des Viertels in einem Karavan haust."
"9","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 89","Programmhefte mit Photos seiner","ersten","Frau, aber das überprüft die Alte nicht, sie kann sich sicher sein, diese Programme haben etwas mit der Opernsängerin zu tun, und auch die Probenphotos schaut die Alte sich nicht an."
"10","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 95","Nach und nach wird die Erde auf den Friedhöfen locker werden, sie weiß nicht, ob ihr Mann am späten Nachmittag zum Friedhof gehen wird, weiß nicht, ob er noch ab und zu heimlich das Grab seiner","ersten","Frau besucht."
"11","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 97","Sobald er den Friedhof betreten hat, nimmt er den immer gleichen, umständlichen Weg bis ans Grab seiner","ersten","Frau, die Schritte ohne aufzuschauen, und erst wenn die Grabkante in sein Blickfeld kommt, hebt er den Kopf zum Stein."
"12","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 106","Ist er in Gedanken bei der Opernsängerin, verrät er seine","zweite","Frau."
"13","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 106","Ist er bei seiner","zweiten","Frau, verrät er seine frühere Familie."
"14","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 106","Wie ein Spion bewegt er sich noch immer zwischen seiner lebenden und seiner","toten","Frau."
"15","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 108","Dort sieht er seine","erste","Frau."
"16","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 108","Die Toten werden die Lebenden nicht in Ruhe lassen, bis diese selbst an ihrem Lebensende angekommen sind, und was für alle Toten gilt, gilt auch für seine","erste","Frau."
"17","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 109","Weil ihm aber sofort bewußt geworden ist, daß dies vielleicht im Frontverkehr, bei Feindkontakt, in einem Hinterhalt von Nutzen wäre, doch kaum vor seiner","eigenen","Frau, hat er den Anrufer blitzartig unterbrochen, mit falscher Stimme übertönt, ein »Falsch verbunden« in die Sprechmuschel gebellt und im selben Moment den Hörer auf die Gabel fallen lassen, so daß die Lüge nicht mehr in die Muschel, bloß in die Luft gesprochen war."
"18","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 111","»Fast hätten wir von deiner","ersten","Frau und deinen Kindern angefangen."
"19","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 112","Vielleicht hat seine","erste","Frau sich von Geheimnissen angezogen gefühlt, aber die Neugier seiner zweiten Frau kann er damit nicht wecken."
"20","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 112","Vielleicht hat seine erste Frau sich von Geheimnissen angezogen gefühlt, aber die Neugier seiner","zweiten","Frau kann er damit nicht wecken."
"21","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 113","Wenn er sie anderen gegenüber nie bei ihrem Namen nennt, wenn sie »die Alte« heißt, dann hat er möglicherweise für seine","erste","Frau genauso einen Decknamen geprägt."
"22","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 113","Das Bild von einem Mann, der sich an das von seiner","zweiten","Frau vor langen Jahren ausgesprochene Kontaktverbot mit einer Strenge hält, als handelte es sich um einen militärischen Befehl, auf dessen Verweigerung die Todesstrafe steht."
"23","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 124","Wir folgen ihm bis zu einem Cafe, wo er von einer","jungen","Frau erwartet wird, möglicherweise seiner Freundin, denn zur Begrüßung umarmen sich die beiden, und noch bevor er sich gesetzt hat, beginnt der Mann aufgeregt zu erzählen."
"24","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 124","Die ausladenden Gesten, mit der er die","junge","Frau zum Lachen bringt, er bückt sich fast, als suchte er etwas unter dem Tisch, dazu sein breites Lächeln mit den falschen Zähnen, wir hätten gleich erkennen müssen, wie wenig Ähnlichkeit dieser Mann mit unserem Großvater hat."
"25","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 128","Mit ihrem Mann hat sie nie darüber gesprochen, doch er muß neben seiner","ersten","Frau zahllosen weiteren Toten begegnet sein."
"26","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 132","Da gingen Männer mit Decknamen ins Bordell, wo sie auf","junge","Frauen trafen, die ebenso Decknamen angenommen hatten, sanft klingend, vielversprechend, gerade richtig für den Flüsterton auf einem Nachmittagslager."
"27","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 133","Irgendwann bekommt sie beim Gedanken an seine","erste","Frau und seine Kinder tatsächlich noch einen Herzanfall."
"28","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 134","Die Augen seiner","ersten","Frau, er hätte diese Schülerin sofort erkennen müssen."
"29","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 134","Sie steht noch immer da, sie klingelt wieder, jeden Moment wird seine","zweite","Frau von hinten rufen, warum er denn die Tür nicht endlich öffne."
"30","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 135","Dann schieben sie sich langsam in den Vordergrund, dann nimmt auch seine","erste","Frau Gestalt an, dann sieht er ihr Gesicht und ihre Hände, der äußerste Zweig streckt sich ihm entgegen, dann gibt es nichts mehr außer ihm und seiner Toten, hat er alles andere vergessen."
"31","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 135","Er nimmt nicht wahr, daß einen Schritt entfernt seine","zweite","Frau wach liegt, weil sie hat hören können, wie er in die Hausschuhe gestiegen und zum Fenster gegangen ist."
"32","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 136","Nie hat er ihr davon erzählt, nie hat er auch nur angedeutet, daß er bei Nacht ans Fenster geht, um nach seiner","ersten","Frau Ausschau zu halten."
"33","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 136","Seine","erste","Frau hat sie nie gesehen, höchstens auf Photos, anfangs, aber da wollte sie diese vor wenigen Monaten Verstorbene nicht anschauen."
"34","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 137","Diese Figur, dieses Gesicht stellt sie sich vor, wenn sie an seine","erste","Frau denkt, verschwommen, unklar, aber zugleich mit durchdringendem Blick."
"35","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 138","Ihr Mann hat das Gesicht seiner","ersten","Frau stets in allen Einzelheiten vor Augen, bald zwanzig Jahre nach ihrem Tod kennt er den Zug um ihren Mund noch sehr genau, er weiß, bei welchen Bewegungen sich welche Falten zeigen, welche Bedeutung welches Lächeln hat, weiß alles über ihren Blick."
"36","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 150","Aber sie möchte von niemand anderem als ihrem Verlobten hören, was er über die mögliche weitere Karriere seiner","zukünftigen","Frau denkt."
"37","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 150","Sie will ihn nicht in Spanien denken, es gibt keinerlei Anhaltspunkte, aber die einzige Möglichkeit, die sie sich noch ausmalen kann, zeigt ihn beim Schreiben seiner Briefe in der Nähe einer","anderen","Frau, die jederzeit hereinkommen und fragen kann, wem er da schreibe, die ihm gar über die Schulter schauen mag und ein paar Zeilen lesen, er will vor ihr keine Geheimnisse haben."
"38","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 156","Keine Geliebte, keine","andere","Frau."
"39","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 193","Nach seiner","zweiten","Frau jedoch hat er nicht suchen wollen, das war ihm lästig."
"40","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 201","Ich muß ein letztes Mal versuchen, Paulina überzeugend zu erklären, daß unser Großvater und seine","zweite","Frau nach wie vor nur ein paar Straßen weiter wohnen, daß sich nie etwas geändert hat."
"41","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 220","Vielleicht hat sie Mitleid bekommen, hat unsere ganze Geschichte auf einmal so gesehen, als würden wir unseren Großvater und seine","zweite","Frau vernachlässigen."
"42","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 248","Ihr trefft euch regelmäßig, und du weißt besser als ich, sie läßt sich nicht von ihrer Überzeugung abbringen, wir hätten die","zweite","Frau unseres Großvaters umgebracht."
"43","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 261","Er horcht: der Ton kehrt nach und nach zurück, die Lippen seiner","ersten","Frau bewegen sich schon nicht mehr stumm."
"44","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 262","Diese Gefahr muß seine","erste","Frau immer gesehen haben, sie kannte ihn genau und wußte, wie sehr ihm an Aufrichtigkeit liegt."
"45","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 262","Nicht, daß diese Sopranistin tatsächlich Ähnlichkeit mit seiner","ersten","Frau hätte, aber er wünscht es sich."
