"No.","Date","Genre","Bibl","ContextBefore","Hit","ContextAfter"
"1","1980-03-10","Zeitung","Der Spiegel, 10.03.1980","Wiederum: Eine Führung darf nicht so leichtfertig vorgehen, daß man den","kleinen","Mann einfach totschießen läßt."
"2","1933-12-31","Belletristik","Feuchtwanger, Lion: Die Geschwister Oppermann, Berlin: Aufbau-Taschenbuch-Verl. 2001 [1933], S. 98","Was ihm, Vogelsang, zu denken erlaubt war, das zu sagen blieb diesem","weibischen","Manne noch lange verboten."
"3","1910-12-31","Gebrauchsliteratur","Friedländer, Hugo: Der Prozeß gegen den Bankier August Sternberg wegen Sittlichkeitsverbrechen. In: ders., Interessante Kriminal-Prozesse, Berlin: Directmedia Publ. 2001 [1910], S. 761","Ferner fragte der Vorsitzende, ob etwa der mehrfach","erwähnte","Mann aus Frankfurt a.d.O. oder andere Männer sie unzüchtig berührt haben."
"4","1983-12-31","Belletristik","Brückner, Christine: Wenn du geredet hättest, Desdemona, Frankfurt a. M.: Ullstein 1986 [1983], S. 37","Ach, Doctorus, was bist du doch für ein","weiser","Mann!"
"5","1908-12-31","Wissenschaft","Fischer, Hermann: Grundzüge der Deutschen Altertumskunde, Leipzig: Quelle & Meyer 1917 [1908], S. 100","Ihnen wird der schöne, gewandte Vogel gerne zum Bilde des","geliebten","Mannes; so erscheint er an mehreren Stellen mittelalterlicher Dichtung."
"6","1957-12-31","Wissenschaft","Dahrendorf, Ralf: Soziale Klassen und Klassenkonflikt in der industriellen Gesellschaft, Stuttgart: Enke 1957, S. 15","Und je mehr eine herrschende Klasse fähig ist, die","besten","Männer der beherrschten Klasse in sich aufzunehmen, desto solider und gefährlicher ist ihre Herrschaft [12, III, S. 140]."
"7","1938-12-31","Gebrauchsliteratur","Harmjanz, Heinrich: Ostpreußische Bauern, Königsberg: Reichsnährstand Verl. Ges. 1939 [1938], S. 45","Der deutsche Bauer nämlich, der seinen Hof als","freier","Mann zu kulmischem Recht besaß, geht langsam aber sicher seiner Vorrechte verlustig."
"8","1917-12-31","Belletristik","Kolbenheyer, Erwin Guido: Paracelsus, München: J. F. Lehmanns 1964 [1917], S. 201","Rot überhaucht standen die","nackten","Männer."
"9","1942-12-31","Belletristik","Seghers, Anna: Das siebte Kreuz, Berlin: Aufbau-Taschenbuch-Verl. 2002 [1942], S. 101","Auf dem Sofa beim Fenster eine Frau und ein Kind und ein","jüngerer","Mann in einem Regenmantel, - am Tisch ein alter Bauer und ein älterer städtischer Mann mit einem Knaben und jetzt noch Georg."
"10","1964-12-31","Belletristik","Bobrowski, Johannes: Levins Mühle, Frankfurt a. M.: Fischer 1964, S. 221","Habedank stand auf dem Feldweg, der von Norden, von dem Höhenzug hinter der Struga, auf das Wäldchen zwische Gronowo und Trzianek zuläuft, und vom Wäldchen her kam ein","anderer","Mann."
"11","1905-03-03","Zeitung","Vossische Zeitung (Abend-Ausgabe), 03.03.1905","In der Umgegend des Alexanderplatzes findet sich in Uhrmacherläden in der Kleidung eines Straßenbahnschaffners ein etwa","30jähriger","Mann mit rötlichem Gesicht ein, stellt sich als Schaffner vom Bahnhof Schönhauser Allee vor und bestellt für seine verloren gegangene Uhr eine neue."
"12","1906-12-31","Belletristik","Musil, Robert: Die Verwirrungen des Zöglings Törleß, Reinbek bei Hamburg: Rowohlt 1983 [1906], S. 111","Törleß wurde später, nachdem er die Ereignisse seiner Jugend überwunden hatte, ein","junger","Mann von sehr feinem und empfindsamem Geiste."
"13","1945-10-23","Zeitung","Süddeutsche Zeitung, 1995 [1945]","Jene leichtsinnig","vergessenen","Männer der Paulskirche, jene Männer um Carl Schurz, der in Amerika die Freiheit fand, die ihm Deutschland verweigert hatte, sind heute nach knapp hundert Jahren hart gerächt."
"14","1926-12-31","Belletristik","Grimm, Hans: Volk ohne Raum, München: Langen 1932 [1926], S. 1152","Der","weiße","Mann mußte denken, der Mann mit dem Gewehre ist der Bandenführer."
"15","1930-12-31","Belletristik","Feuchtwanger, Lion: Erfolg. In: ders., Gesammelte Werke in Einzelbänden, Bd. 6, Berlin: Aufbau-Verl. 1993 [1930], S. 711","Jacques Tüverlin hatte breite Schultern und einen wohltrainierten Körper; dennoch saß er geradezu zierlich zwischen den","riesigen","Männern."
"16","1904-03-02","Zeitung","Vossische Zeitung (Abend-Ausgabe), 02.03.1904","Dieser, ein","siebzigjähriger","Mann (Charlotte selbst zählt nur 30 Jahre) nennt sich selbst einen ""unverbesserlichen Träumer, einen unbehülflichen Greis und einen ehrwürdigen Schasskopf""; er ist ein verliebter, vergeßlicher alter Herr in grünem Hut und Regenmantel, in dessen Taschen sein ganzes, aus zwei Taschentüchern, zwei durchlöcherten Socken und einem Notizbuch bestehendes Gepäck geborgen ist."
"17","1902-12-31","Gebrauchsliteratur","Stettenheim, Julius: Der moderne Knigge. In: Zillig, Werner (Hg.) Gutes Benehmen, Berlin: Directmedia Publ. 2004 [1902], S. 15110","Sie mag vielleicht auf den Bällen häufig in die Notwendigkeit versetzt werden, Verkehrsstörungen herbeizuführen, indem sie sich hier und dort in den Weg stellt, um sich zur Geltung zu bringen und allen Anwesenden klar zu machen, daß sie nicht zum Vergnügen erschienen sei, am allerwenigsten zum Vergnügen der","jungen","Männer, aber das erhöht ihre Würde."
"18","1949-12-31","Belletristik","Voß, Richard: Zwei Menschen, Stuttgart: Engelhorn 1911 [1949], S. 147","Judith mußte den kinderlosen","alten","Mann auf den Heimgekehrten vorbereiten."
"19","1910-12-31","Belletristik","May, Karl: Winnetou IV, Berlin: Neues Leben 1993 [1910], S. 222","Ihr scheint ein übermäßig","gewalttätiger","Mann zu sein."
"20","1911-12-31","Belletristik","Hauptmann, Gerhart: Die Ratten, Berlin: S. Fischer 1942 [1911], S. 464","Maurerpolier John, ein vierzigjähriger bärtiger, gutmütig","aussehender","Mann, steht behaglich am vorderen Fenstertisch und macht sich Notizen aus den Bauplänen."
"21","1927-12-31","Gebrauchsliteratur","Wien, Wilhelm: Ein Rückblick. In: Simons, Oliver (Hg.), Deutsche Autobiographien 1690 - 1930, Berlin: Directmedia Publ. 2004 [1927], S. 73159","Ich war mir klar darüber, daß sowohl die Landwirtschaft auf einem ostpreußischen Gut, wie die Wissenschaft den","ganzen","Mann beanspruchten, wenn nicht ein Mißerfolg entstehen sollte."
"22","1918-12-31","Wissenschaft","Spengler, Oswald: Der Untergang des Abendlandes, München: Beck 1929 [1918], S. 407","Der Rassenhaß, das Alleinstehen des Emporkömmlings unter den Patriziern, der Mohr als Soldat, als Naturmensch, als der vereinsamte","ältere","Mann - nichts von diesen Momenten ist ohne Bedeutung."
"23","1969-12-31","Belletristik","Becker, Jurek: Jakob der Lügner, Berlin: Aufbau-Verl. 1969, S. 249","Er macht sich damit nicht gerade beliebt, nur wenige haben Verständnis für seine Lage, der","große","Mann von gestern sinkt rapide im Ansehen."
"24","1940-12-31","Belletristik","Schaper, Edzard: Der Henker, Zürich: Artemis 1978 [1940], S. 370","Es war ein","zweifelhafter","Mann, der zuweilen auch in den Klub kam, eine lausige Halbheit von einem Deutschböhmen und einem Polen oder Gott weiß, was, jedenfalls ein Schwätzer mit dem Ehrgeiz, ein Zwischenträger zu sein, auf den der Kreismilitärchef jetzt ein Auge geworfen hat; aber er wird diesen Menschen wohl für mehr und für etwas Gefährlicheres halten, als er in Wirklichkeit ist."
"25","1950-12-31","Belletristik","Horster, Hans-Ulrich [d.i. Rhein, Eduard]: Ein Herz spielt falsch, Köln: Lingen 1991 [1950], S. 241","Billa weiß schon, weshalb sie so drauf drängt, daß ich mich in die Leitung einschalte ... Du wärst gerad' der","richtige","Mann, mir dabei zu helfen ...«"
"26","1900-12-31","Zeitung","Die Fackel [Elektronische Ressource], 2002 [1900]","An der Correctheit des Dr. Landau konnte ich nicht zweifeln, da ihn Herr Kanner, sein langjähriger Bekannter, wiederholt und durch Entgegennahme seines Aufsatzes über Slobudka neuerlich zur Mitarbeit an der 'Zeit' herangezogen hatte, und diese Mitarbeiterschaft an der vornehmen Revue mir als genügendes Leumundszeugnis für den mir persönlich nicht näher","bekannten","Mann gelten musste."
"27","1910-12-31","Belletristik","May, Karl: Winnetou IV, Berlin: Neues Leben 1993 [1910], S. 33","Kaum hat er bei einem Bekannten von meinem 'Winnetou' gehört, so engagiert er sich einen","besonderen","Mann zum Übersetzen und Vorlesen dieser Erzählung."
"28","1918-12-31","Belletristik","Stehr, Hermann: Der Heiligenhof, München: List 1952 [1918], S. 563","Wie hätte der","große","Mann sonst von Helene als von einem heiligen Menschen reden können!"
"29","1949-12-31","Belletristik","Niebelschütz, Wolf von: Der blaue Kammerherr, Stuttgart u. a.: Dt. Bücherbund [1991] [1949], S. 557","Das sollte mit seltsamen Dingen zugehen .. Ich bin persuadiert, dieser Midas kommt gar nicht erst, unser hoher Gönner dürfte ihm das nahe gelegt haben, und über das Brautbett wird der","junge","Mann Parallelität der Gedanken und Auffassungen herstellen.«"
"30","1928-06-12","Zeitung","Tucholsky, Kurt: Der darmstädter Armleuchter. In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1928]","Sein Verfasser aber ist inzwischen bei denen, die nicht alle werden, ein","berühmter","Mann geworden, und der Verlag Niels Kampmann in Heidelberg beehrt sich, vorzuführen: »Graf Hermann Keyserling, Das Spektrum Europas, Ein hochkomischer Weltschlager mit dem Verfasser in der Titelrolle.«"
"31","1957-12-31","Gebrauchsliteratur","Zimmermann, Theo: Der praktische Rechtsberater, Gütersloh: Bertelsmann [1968] [1957], S. 493","Aber erstaunt war der sonst nicht","untüchtige","Mann, als er erfuhr, daß er sich zu nächtlicher Stunde in seinem Haus und als Urlauber in Bayern ob seines Verhaltens strafbar gemacht hatte."
"32","1925-04-05","Gebrauchsliteratur","Steiner, Rudolf: Mein Lebensgang, Eine nicht vollendete Autobiographie. In: Oliver Simons (Hg.), Deutsche Autobiographien 1690 - 1930, Berlin: Directmedia Publ. 2004 [1925], S. 65535","In dem schmächtigen,","anspruchslosen","Mann steckte ein energischer Wille."
"33","1980-12-31","Belletristik","Wellershoff, Dieter: Die Sirene, Köln: Kiepenheuer & Witsch 1980, S. 73","Benommen stieg er in den Fahrstuhl und fuhr in das 26. Stockwerk, zusammen mit zwei","anderen","Männern, die beim Zwischenhalt ausstiegen, wo ein junges Paar in Abendgarderobe hereindrängte, das sich an der Seitenwand aufstellte und flüsternd seine Unterhaltung fortsetzte."
"34","1973-12-12","Zeitung","Archiv der Gegenwart, 2001 [1973]","Die nächste Generation der","führenden","Männer in Europa, Canada und Amerika wird weder die persönliche Erinnerung noch die emotionellen Verpflichtungen gegenüber dem Atlantischen Bündnis besitzen, wie die Gründer des Bündnisses."
"35","1922-12-31","Gebrauchsliteratur","Sudermann, Hermann: Das Bilderbuch meiner Jugend. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1922], S. 66194","Onkel Eduard, ein strenger,","stattlicher","Mann, Ende der Vierzig, mit Stupsnase, Brille und Kehlkopfkatarrh, war Rektor der Gemeindeschule auf dem »Nassen Garten«, einem Stadtteil draußen vor den Festungswerken, aus einer endlos langen Straße bestehend, in der nur arme Leute wohnten."
"36","1951-12-31","Gebrauchsliteratur","Klemperer, Victor: [Tagebuch] 1951. In: ders., So sitze ich denn zwischen allen Stühlen, Berlin: Aufbau-Verl. 1999 [1951], S. 164","Blonder hübscher neutral aussehender","junger","Mann."
"37","1924-04-03","Zeitung","Tucholsky, Kurt: König contra Reimann. In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1924]","Der Verlegermeister Paul Steegemann hat dem Buch einen Reklameanhang beigegeben, worin sich - unterbrochen von dem sehr freundlichen Verriß Reimanns durch einen ernsten","deutschen","Mann - eine Kostbarkeit allerersten Ranges befindet: die Einstweilige Verfügung des Geenijs gegen den Schriftsteller H. R."
"38","1927-12-31","Gebrauchsliteratur","Ostwald, Wilhelm: Lebenslinien. Eine Selbstbiographie, 3 Teile. In: Simons, Oliver (Hg.), Deutsche Autobiographien 1690 - 1930, Berlin: Directmedia Publ. 2004 [1927], S. 50429","Wohl aber stellten die","maßgebenden","Männer der chemischen Industrie, welche das Staatsexamen mit größtem Nachdruck befürwortet und beinahe schon endgültig durchgesetzt hatten, bei dieser Gelegenheit fest, daß ich nicht genügend hellhörig für ihre Wünsche sei und daher in ihren Kreis, dem auch mehrere im Vordergrunde stehende Professoren angehörten, nicht paßte."
"39","1997-06-06","Zeitung","Die Zeit, 06.06.1997, Nr. 24","Minuten dauert es, bis dieses gähnende Symbol der deutschen Realität mit null Arbeitsplätzen, bewacht von wenigen","alten","Männern, durchwandert ist und der Besucher die Gasse erreicht, wo drei Häuslein stehen, mit etwas Erfreulichem, Neuem."
"40","1919-04-02","Zeitung","Berliner Tageblatt (Abend-Ausgabe), 02.04.1919","Nach ihm haben die","führenden","Männer in Deutschland keine Hoffnung mehr , daß sich ein vollständiger wirtschaftlicher und politischer Zusammenbruch innerhalb der nächsten drei Monate abwenden läßt, es sei denn, daß Nahrungsmittel kommen ."
"41","1957-12-31","Gebrauchsliteratur","Dillenburger, Helmut: Das praktische Autobuch, Gütersloh: Bertelsmann 1965 [1957], S. 426","Da die Schmiere schon lange verschwunden ist, besteht kein besonderer Grund mehr zu übertriebener Vorsieht - mit einer Ausnahme: stehengebliebene Pfützen spart der kluge und","höfliche","Mann aus oder durchfährt sie langsamer, zumindest sofern er gerade Fußgänger oder Radfahrer überholt."
"42","1920-12-31","Zeitung","Tucholsky, Kurt: Der Zigaretten-Fritze. In: ders., Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1920], S. 10619","Ick kannte mal een","jungen","Mann, der hat anjefangen zu telephonieren, un denn hat er jeheiratet un sich fortjepflanzt, un wenn er nich jestorben is, denn telephoniert er heute noch."
"43","1935-12-31","Gebrauchsliteratur","Schuhmann, Otto: Meyers Opernbuch, Leipzig: Bibliograph. Inst. 1938 [1935], S. 320","Wenn Amonasro von dem angeblichen Tode seines Königs berichtet, wenn er beziehungsvoll sein ""Wenn es Verbrechen, sein Vaterland zu lieben"" auf der gleichen melodischen Wendung singt wie Ägyptens König zuvor das ""Dir Gruß und Dank, du Retter des Landes"", wenn er stolz und mit leicht drohender Mahnung für sich und die Seinen um Gnade bittet - so steht alles im Banne dieses","dämonischen","Mannes."
"44","1963-12-31","Wissenschaft","Klemz, Willy: Praktische Menschenkunde, Düsseldorf: Greif 1963, S. 92","Wo die Begabung einer kaufmännischen Intelligenz und die damit verbundene Menschenführung benötigt wird, ist er der","richtige","Mann an diesem Platz."
"45","1919-12-31","Belletristik","Stucken, Eduard: Die weißen Götter, Stuttgart: Stuttgarter Hausbücherei [1960] [1919], S. 353","Ihr seid doch ein","kluger","Mann - wie denkt Ihr darüber?« fragte Cortez bestrickend liebenswürdig."
"46","1946-12-31","Belletristik","Wiechert, Ernst: Das einfache Leben, München: Ullstein Taschenbuchverl. 2000 [1946], S. 275","Es sei ihm bekannt, sagte der Oberst, daß Herr von Orla in seinem Buch in dieser Hinsicht merkwürdige Anschauungen geäußert habe, aber die Entwicklung der letzten Jahre dürfte ihm wohl gezeigt haben, daß alle","königstreuen","Männer gegen jene Lumpen zusammenzustehen hätten."
"47","1902-12-31","Wissenschaft","Meyer, Eduard: Geschichte des Altertums, Bd. V. In: Geschichte des Altertums, Berlin: Directmedia Publ. 2001 [1902], S. 21909","Als dann in Theben in Epaminondas noch einmal ein","großer","Mann erstand, hat er nur zerstören können; seine Versuche, aufzubauen, sind resultatlos geblieben."
"48","1913-12-31","Gebrauchsliteratur","Bergg, Franz: Ein Proletarierleben. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1913], S. 5054","Der","vornehme","Mann machte mächtigen Eindruck."
"49","1934-12-31","Belletristik","Knittel, John: Via Mala, Berlin: Deutsche Buch-Gemeinschaft 1957 [1934], S. 289",,"Weißbeschürzte","Männer und Frauen rasten mit riesigen Tabletts umher, die mit Würstchen, Brot, Käse, Bier und Wein beladen waren."
"50","1939-01-01","Zeitung","NS-Frauen-Warte, 1939",,"Tollkühne","Männer unter Führung Görings versuchen, diese Überlegenheit des Feindes auszugleichen."
"51","1971-12-31","Wissenschaft","o. A.: Die Kirche in der Gegenwart. In: Jedin, Hubert (Hg.) Handbuch der Kirchengeschichte, Berlin: Directmedia Publ. 2000 [1971], S. 12226","Im gleichen Jahr weihte Kardinal Odescalchi den vielversprechenden","jungen","Mann zum Priester, der in den Kardinälen J.A. Sala, als Prälat um die Restaurationspolitik unter Pius VII. verdient, B. Pacca, Anführer der »Zelanti«, und Staatssekretär Lambruschini sich einflußreiche Förderer gewonnen hatte."
