"No.","Date","Genre","Bibl","ContextBefore","Hit","ContextAfter"
"1","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 17","In diesem langen Augenblick scheint es, als wendete die Sängerin sich nur an ihn, als hätte sie diese Gestalt im Publikum fixiert, den","jungen","Mann mit seinem Opernglas vor den Augen und dem Programmheft auf den Knien."
"2","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 25","Ein","alter","Mann vielleicht, der hier schon in den dreißiger Jahren geschossen hat, und heute kommt er immer noch, er hat die frühere Zeit nicht vergessen können."
"3","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 32","Eine Figur aber sticht gleich heraus, ein junger,","unbekannter","Mann, von dem es auffällig viele Porträts gibt, vor wechselnden Hintergründen, aus verschiedenen Weltengegenden, aber stets in Uniform."
"4","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 33","Neben dem","jungen","Mann rücken auch andere Soldaten in den Bildausschnitt."
"5","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 33","Der","junge","Mann, so schätzen wir, muß mittlerweile ungefähr das gleiche Alter erreicht haben wie jene alten Leute, die hier am Hügel wohnen."
"6","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 34","Auf diesen Einzelaufnahmen ist von unserem Großvater als","jungem","Mann nichts übrig, nicht einmal der Schatten seines Oberkörpers reicht ins Bild."
"7","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 35","Der","junge","Mann steht auf der Straße, wir sitzen zusammengedrängt auf der Couch, und doch schauen wir mit ihm gemeinsam."
"8","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 38","Die junge Frau, der","junge","Mann, er wird sie überredet haben, oder überlistet, es sei ja ohnehin kern Film im Apparat."
"9","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 39","Unsere Großmutter auf demselben Fest, mit ihrem","zukünftigen","Mann."
"10","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 79","Sie hat ihn nur bei einigen heimlichen Treffen in der Stadt gesehen, diesen gehetzten, beinahe im Flüsterton","redenden","Mann, der Höllenangst vor seiner Alten hat."
"11","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 107","Nun sitzen sie auf ihrer Bank, der","alte","Mann ist endlich fort, die Anführerin zieht unter ihrer Jacke ein Spionageheft hervor."
"12","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 115","Die Puppe verschwindet irgendwo in der Vergangenheit im dunkeln, doch Nora entziffert einen handgeschriebenen Kommentar, an dem wir hängenbleiben, auch wenn sich das dazugehörige Bild eines","jungen","Mannes in Uniform kaum von den anderen unterscheidet:"
"13","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 115","Carl hätte es sofort erkennen müssen, die Orden an der Brust des","jungen","Mannes, das billige Metall im Gegenlicht, möglicherweise sind sie ihm tatsächlich sofort aufgefallen, aber gesagt hat er beim erstenmal noch nichts."
