"No.","Date","Genre","Bibl","ContextBefore","Hit","ContextAfter"
"1","2002-09-05","Zeitung","Die Zeit, 05.09.2002, Nr. 37","So ein Gefährt","gehört","verboten."
"2","2003-07-03","Zeitung","Die Zeit, 03.07.2003, Nr. 28","Was der Deutsche Rösti nennt,","gehört","verboten."
"3","2007-11-16","Zeitung","Die Zeit, 16.11.2007, Nr. 47","»Die Partei","gehört","verboten.«"
"4","2008-01-24","Zeitung","Die Zeit, 24.01.2008, Nr. 05","Unnützes Zeug zu reden","gehört","verboten, sage ich immer."
"5","2009-07-06","Zeitung","Die Zeit, 06.07.2009, Nr. 28","""Eine Schande, dass die NPD demonstrieren darf, die","gehört","verboten"", sagte ein älterer Mann am Stammtisch im Ruderklub."
"6","2010-08-02","Zeitung","Die Zeit, 02.08.2010 (online)","""Dieser FIFA-Termin","gehört","verboten."
"7","2010-08-02","Zeitung","Die Zeit, 02.08.2010 (online)","""Dieser FIFA-Termin","gehört","verboten."
"8","2011-04-26","Zeitung","Die Zeit, 26.04.2011 (online)","Die NPD","gehört","verboten», erklärte Herrmann."
"9","2012-07-19","Zeitung","Die Zeit, 19.07.2012, Nr. 30","Was gegen die Menschenwürde verstößt,","gehört","verboten und verhindert."
"10","2012-08-13","Zeitung","Die Zeit, 13.08.2012 (online)","Schleswig-Holsteins Ministerpräsident Torsten Albig sagte: «Die NPD","gehört","verboten.»"
"11","2012-08-13","Zeitung","Die Zeit, 13.08.2012 (online)","«Die NPD","gehört","verboten.»"
"12","2012-08-25","Zeitung","Die Zeit, 25.08.2012 (online)","Eine solche Partei","gehört","verboten"", schrieb Sellering zum Jahrestag der Ausschreitungen in einem Gastbeitrag in der ""Bild am Sonntag""."
"13","2012-12-05","Zeitung","Die Zeit, 05.12.2012 (online)","Die rechtsextreme NPD","gehört","verboten."
"14","2012-12-18","Zeitung","Die Zeit, 18.12.2012, Nr. 51","""Das finde ich eklig, das","gehört","verboten!"" zu erlassen, finde ich falsch."
"15","2013-07-04","Zeitung","Die Zeit, 04.07.2013, Nr. 28","""So etwas","gehört","verboten."
"16","2014-04-09","Zeitung","Die Zeit, 09.04.2014, Nr. 15","""Flatrate-Sex","gehört","verboten"", sagte Schwesig der ZEIT."
"17","2015-03-05","Zeitung","Die Zeit, 05.03.2015, Nr. 10","– ""Der Besitz von Dollar","gehört","verboten!"""
"18","2016-02-27","Zeitung","Die Zeit, 27.02.2016, Nr. 10","Die NPD","gehört","verboten!"
