text_year	N
1654	6285
1657	6568
1658	2021
1659	7456
1660	6054
1661	2427
1662	9751
1663	9775
1664	3961
1665	4354
1666	6097
1667	4242
1668	1977
1670	4011
1671	4676
1672	8071
1673	8570
1674	8287
1675	2113
1676	2045
1677	1968
1679	2420
1680	14506
1681	4151
1682	8617
1683	7148
1684	4335
1685	3109
1686	4100
1687	6039
1689	7786
1689-1690	1983
1690	4062
1692	2113
1693	2186
1694	2012
1695	2081
1696	2097
1696-1697	2046
1698	7994
1699	10364
1700	14618
1701	4296
1702	9001
1703	4004
1704	4113
1705	2045
1706	4035
1707	6308
1708	6264
1709	8210
1710	2118
1711	3903
1712	1699
1713	461
1714	2108
1715	10284
1716	2023
1717	4014
1719	2064
1720	6372
1721	2091
1722	6432
1723	4077
1724	8262
1725	1969
1728	2131
1729	6104
1730	4454
1731	4142
1732	2396
1733	4085
1734	6186
1735	4038
1736	3859
1737	8764
1738	4119
1739	6141
1740	4338
1741	4102
1742	4089
1743	4165
1744	12924
1745	4211
1746	2074
1747	2798
1748	4023
1749	6525
1750	6593
1751	6119
1752	1802
1753	2122
1756	4080
1757	2107
1760	2026
1761	1902
1762	4196
1764	4530
1765	2030
1766	2008
1767	4192
1768	2105
1769	5882
1770	1949
1771	2081
1772	6445
1773	2359
1774	12064
1775	6242
1776	6178
1777	8397
1778	4285
1780	10400
1781	10912
1782	8606
1783	2265
1783-1784	2238
1784	10741
1785	2235
1786	4198
1787	7820
1788	8286
1789	5554
1790	6951
1791	4316
1792	8159
1793	2103
1795	2044
1796	8428
1797	4363
1798	10344
1799	2161
