Number	Left_Context	Keyword	Right_Context
  1267266:	  die jeder bringen ſoll / Vnd zu dem nutzen auch drin man beſtehet wol . ANNVS CHRISTI , 1597 . 	Historische	 erzoͤhlung / der fuͤrnembsten Geschichten vnd hand- / lungen / so in diesem 1597 . Jahr / vast in gantzem
  1267349:	  Gottshaus Sanct Gallen Reichshoff Rorschach am Bodensee / bey Leonhart Straub / Jm Jar / 1597 . Relation , Vnd 	Historische	 Erzehlung / der denckwuͤrdigisten sachen / so sich im nechst abgelauffnen Januario dieses 1597 . Jahrs / hin vnd wider
  1273416:	  zukommen ) zugetragen / was sich ferrner im Februario begeben / solle gleich hinnach volgen . FEBRVARIVS Anni 1597 . 	Historische	 Relatio , vnnd Erzehlung der fuͤrnembsten Geschichten / so sich im abgelauffnem Hornung / des 1597 . Jahrs / Nach
  1273490:	  in deß F. Gottshaus Sanct Gallen Reichshoff Rorschach am Bodensee / bey Leonhart Straub / Jm Jar / 1597 . 	Historische	 Beschreibung der verlauffnen sachen im Hornung / deß 1597 . Jahrs . DJsen Monat hindurch seind die Oesterreichische Rebellische Bawren
  1286100:	  die Geschichten im Meyen sollen taͤglich hernach volgen . Biscaglino Scharmitzelt mit 30 Englischen Schiffen . MAIVS Anni 1597 . 	Historische	 erzehlung etlicher fuͤrnemer Geschichten / so in dem Mayen deß 1597 . Jars / in Tuͤrckey / Wallachey / Sibenbuͤrgen
  3199053:	  affinem ſuum . Wie auch eine Conſolatoriam ad Ludovicum Huttenum ſuper interemtione filii cum epiſtola ad Jacobum Fuchs Eccleſ . 	Bamberg	 . & Herbipol . Canonicum . Jngleichen 5. Orationes Invectivas in Ulricum Würtebergenſem , und endlich einen Dialogum wieder den
  3202149:	  / und hernach noch einen Baron , der den Landgrafen kaum abhalten konte / daß er nicht denen Biſchoffen zu 	Bamberg	 und Wuͤrtzburg feindlich ins Land gefallen / und damit ein groſſes Kriegs-feuer angezuͤndet haͤtte . 2. Es loͤnnen auch die
  3202282:	  er mit ſeiner Armée an die graͤntzen ruͤckte / daß der Churfuͤrſt von Maͤyntz und die Biſchoͤffe von Wuͤrtzburg und 	Bamberg	 zuſammen ihm hundert tauſend guͤlden wuͤrcklich auszahlten / nur damit er ſie zu frieden ließ . Die Papiſten mochten ſich
  3962133:	  Muͤller in ſeinem tractat von den 4. neuen abgoͤtteren der Lutheriſchē ihnen ſolches vorhaͤlt / iſt alſo im durchreiſen durch 	Bamberg	 von dem Papiſtiſchen Biſchoff daſelbſt mit groſſen gnaden auffgenommen und in vollkom̃ene fꝛeyheit ſeines gewiſſens hergeſtellet / beſchuͤtzet und beherberget
  4820015:	  Ethnologie zu Gute zu kommen , gefördert durch derartige Organisationen , wie sie Leibnitz ’ umfassender Blick für die vergleichende 	Linguistik	 vorbereitete , ( die wichtigste Hülfswissenschaft der Ethnologie ) . Hierfür wird der erste Neubau eines Museums für Ethnologie den
  4953705:	  . 202 Ottern und Edechſen in der Menſchen Leiber gewachſen . 803 Kaͤyſer Otto Friedfertig . 822 Otto Biſchoff zu 	Bamberg	 / ſchicket ſein Eſſen einem Krancken . 463 P . Pambo / wie lang er am 2 . vers deß
  5213521:	  Mit-Chriſten bedencken / und mit unſerm Uberfluß ihrem Mangel begegnen / 2. Cor. 8 wie man von Biſchoff Otten zu 	Bamberg	 / einem gebohrnen Grafen von Andechs / der um das Jahr Chriſti 1119 . gelebet / ſchreibet / da ihm
  5568051:	  noch in andern Schriften . M. ſ . die Definitionen-Sammlungen bei : Roßhirt , Ueber den Begriff der Staatspolizei ( 	Bamberg	 1817 ). S. 34–61 . Butte , Verſuch der Begründung eines Syſtems der P. W. S. 6–29 ( Landshut 1807
  5706835:	  ) , von Hundeshagen ( Twbingen 1826 , ſ . Pfeil Kritiſche Blätter . IV. 1. ) , Reber ( 	Bamberg	 1827 ) . Hartig Journal . II. 1. 3. 4. Laurop Annalen . II. 4. V. 1. Jahrbücher. I. 2.
  5883245:	  Ueber Creditvereine . Baſel 1823 . v. Hornthal , Ueber das Anlehnsgeſch . der verein . Bair . Gutsbeſitzer . 	Bamberg	 1824 . Gr. v Arco , Auch ein Wort über Creditvereine . München 1825 . ( Ein Preuße ) Ueber
  5973335:	  leben . Zu Dantzig viel Boͤrnſtein Traͤher : zu Augſpurg / und anderer Orthen Cryſtall-Schneider : am Rheinſtrom und zu 	Bamberg	 wird viel Handel mit Schifferſtein : Jm Chur : Coͤllniſchen mit Tufftſtein und Muͤhlſtein : anderer Orthen mit was anders
  6013465:	  der Hertzog in Wuͤrtenberg / der Churfuͤrſt von Mayntz wegen Erffurt / der Ertz- Biſchoff von Saltzburg / Biſchoff von 	Bamberg	 und Wuͤrtzburg / und der Hertzog von Neuburg mit mit correſpondirt , und ich reſolvirt das Manufactur-Werck fort zu ſetzen
  6207798:	  bewundern . Sie sahen Regensburgs alte versinkende Herrlichkeit , sahen das alte Nürnberg und sein immer jugendliches Leben . Ueber 	Bamberg	 und Coburg reisten sie dann nach dem Dorf Eishausen ; der Graf hatte Befehl gegeben , dort anzuhalten , und
  6593466:	  einer riesigen Bombarde , Griète oder Griote genannt , bei der Belagerung von Bourges . 1419 lassen die Schweinfurter zu 	Bamberg	 Geschütze gieſsen . 1420 erweist sich die Überlegenheit der Artillerie der Hussiten gegen Kaiser Sigismund bei Prag . 1421 .
  6674271:	  Glieder besaſs , darunter Burgard Mathesius , der lange Rektor bei St. Sebald in Nürnberg und später Vikar vom Stifte 	Bamberg	 war . Johanns Vater Wolfgang war Ratsherr zu Rochlitz . Auch in diese Stadt , in deren Umgebung schon früher
  6848204:	  wir bei einem der von Biringuccio beschriebenen Blasebälge angewendet . Siehe Grothe , a. a. O. und Th. Beck , 	Historische	 Notizen , Civilingenieur Bd. XXXIV , Heft 1 , Taf. V . Siehe Th. Beck , Civilingenieur Bd. XXXIV ,
  6848291:	  188 ) , wozu Agricola ( Lib. VI ) folgende Beschreibung giebt : Fig. 188 . Siehe Th. Beck , 	Historische	 Notizen , Civilingenieur , XXXIV . Band , 8. Heft , Tab. XXII , Fig. 5 . „ Das viereckige
  6959002:	  die zweite die Gittelder Faktorei- und Hüttenordnung . Siehe Wagner’s corpus juris metallici , p. 1067 . Siehe Calvör , 	Historische	 Nachrichten von den unter- und oberharzigen Bergwerken 1765 , S. 229. Die Iberger Eisensteinordnung , welche an den Oberverwalter und
  7016280:	  viel innere Wahrscheinlichkeit ; jedenfalls mehr als die Mitteilung Schlüters , daſs die Erfindung der Holzbälge von einem Bischof von 	Bamberg	 herrühre . Es müſste dies der Zeit nach Joh. Gottfried von Aschhausen , der von 1609 bis 1622 auf dem
