Number	text_title	text_author	text_year	Left_Context	Keyword	Right_Context	tagA
    13637	Trauer-Spiel Von dem Neapolitanischen Haupt-Rebellen MASANIELLO, [...]	Christian Weise	1683	e maͤchtige	Operation	, daß man de	Operation
    14139	Trauer-Spiel Von dem Neapolitanischen Haupt-Rebellen MASANIELLO, [...]	Christian Weise	1683	rd . Wo die	Rebellion	kein Haupt er	Rebellion
    14393	Trauer-Spiel Von dem Neapolitanischen Haupt-Rebellen MASANIELLO, [...]	Christian Weise	1683	r Gassen seine	Operation	ausbreitet 	Operation
    15138	Trauer-Spiel Von dem Neapolitanischen Haupt-Rebellen MASANIELLO, [...]	Christian Weise	1683	Bube  diese	Invention	stincket nach	Invention
    15212	Trauer-Spiel Von dem Neapolitanischen Haupt-Rebellen MASANIELLO, [...]	Christian Weise	1683	hon so viel	Millionen	Ducaten darinnen	Million
    15686	Trauer-Spiel Von dem Neapolitanischen Haupt-Rebellen MASANIELLO, [...]	Christian Weise	1683	giebt mir die	Confusion	in dem Pallaste	Confusion
    15772	Trauer-Spiel Von dem Neapolitanischen Haupt-Rebellen MASANIELLO, [...]	Christian Weise	1683	einer gewissen	Recreation	. Jch muͤste	Rekreation
    28954	Schau-Bühne Englischer und Frantzösischer Comödianten [...]	anon.	1670	n allzuzarten	Complexion	, und nicht	Komplexion
    29113	Schau-Bühne Englischer und Frantzösischer Comödianten [...]	anon.	1670	n sagt  eine	Inclination	zu meiner Tochte	Inclination
    29874	Schau-Bühne Englischer und Frantzösischer Comödianten [...]	anon.	1670	agen gantz kein	affection	mehr zu dir .	affection
    30218	Schau-Bühne Englischer und Frantzösischer Comödianten [...]	anon.	1670	ir haben keine	Conversation	miteinander	Konversation
    30269	Schau-Bühne Englischer und Frantzösischer Comödianten [...]	anon.	1670	 mit solcher	Reputation	umb mich gefreyet	Reputation
    30335	Schau-Bühne Englischer und Frantzösischer Comödianten [...]	anon.	1670	rn ihr nur	Resolution	genug habt .	Resolution
    30421	Schau-Bühne Englischer und Frantzösischer Comödianten [...]	anon.	1670	ch will eurer	passion	dienen  ich	Passion
    38594	Schäfer-Spiel/ Streit der Ehre und Liebe/ Oder CELION und BELINDE, genannt/ [...]	Reinhard Kaiser	1707	n du mit	Celion	stehest : Ich	Celion
    38726	Schäfer-Spiel/ Streit der Ehre und Liebe/ Oder CELION und BELINDE, genannt/ [...]	Reinhard Kaiser	1707	Ich habe den	Celion	hierher bescheid	Celion
    38873	Schäfer-Spiel/ Streit der Ehre und Liebe/ Oder CELION und BELINDE, genannt/ [...]	Reinhard Kaiser	1707	Pfleg-Tochter an den	Celion	vermaͤhlt zu	Celion
    39408	Schäfer-Spiel/ Streit der Ehre und Liebe/ Oder CELION und BELINDE, genannt/ [...]	Reinhard Kaiser	1707	nicht  mein	Celion	, wenn ich au	Celion
    39703	Schäfer-Spiel/ Streit der Ehre und Liebe/ Oder CELION und BELINDE, genannt/ [...]	Reinhard Kaiser	1707	en . Ach !	Celion	, ich bedaure	Celion
    39948	Schäfer-Spiel/ Streit der Ehre und Liebe/ Oder CELION und BELINDE, genannt/ [...]	Reinhard Kaiser	1707	mein Vater ?	Celion	wil behaupten	Celion
    40149	Schäfer-Spiel/ Streit der Ehre und Liebe/ Oder CELION und BELINDE, genannt/ [...]	Reinhard Kaiser	1707	ren nun selbst	Celion	, wie sehr ih	Celion
    40819	Schäfer-Spiel/ Streit der Ehre und Liebe/ Oder CELION und BELINDE, genannt/ [...]	Reinhard Kaiser	1707	r nicht ein 	Celion	, daß Amaranthe	Celion
    43472	Die Alte Jungfer	Gotthold Ephraim Lessing	1749	du die gestrige	Motion	wohl bekommen	Motion
    45831	Die Alte Jungfer	Gotthold Ephraim Lessing	1749	steh meine	Profession	. Es wird mi	Profession
    48867	Die Pietisterey im Fischbein-Rocke, Oder die Doctormäßige Frau.	Luise Adelgunde Victorie Gottsched	1736	r die schwersten	Religions	Artickel , den	Religion
    67997	Der Zügel-lose	anon.	1745	nze deutsche	Nation	in zwey Drittel	Nation
    86094	Der Hofmeister oder Vortheile der Privaterziehung	Jakob Michael Reinhold Lenz	1774	ieb Rehaarn	Satisfaktion	, eh zieh '	Satisfaktion
    86191	Der Hofmeister oder Vortheile der Privaterziehung	Jakob Michael Reinhold Lenz	1774	Er soll mir	Satisfaktion	geben – Satisf	Satisfaktion
    86194	Der Hofmeister oder Vortheile der Privaterziehung	Jakob Michael Reinhold Lenz	1774	faktion geben –	Satisfaktion	geben . Jetzt	Satisfaktion
    92309	Egmont. Ein Trauerspiel in fünf Aufzügen	Jakob Michael Reinhold Lenz	1788	sen uns von der	Inquisition	in' s Bockshorn	Inquisition
    92898	Egmont. Ein Trauerspiel in fünf Aufzügen	Jakob Michael Reinhold Lenz	1788	d verfluchten	Executionen	! man kriegt	Exekution
    93782	Mägera, die förchterliche Hexe	Philipp Hafner	1764	t tausend	Millionen	Souverains d'	Million
    93808	Mägera, die förchterliche Hexe	Philipp Hafner	1764	ter 10 .	Millionen	Kaufschilling	Million
    93999	Mägera, die förchterliche Hexe	Philipp Hafner	1764	krement ! 10 .	Millionen	Kaufschilling	Million
   101094	Götz von Berlichingen mit der Eisernen Hand	Johann Wolfgang Goethe	1773	 ihm . Meine	Commißion	! Sie soll	Kommission
   101126	Götz von Berlichingen mit der Eisernen Hand	Johann Wolfgang Goethe	1773	weitlaͤufige	Commission	. Kennt ihr	Kommission
   106792	Verbrechen aus Ehrsucht. Ein ernsthaftes Familiengemählde in fünf Aufzügen	August Wilhelm Iffland	1787	o ist ja die	Proposition	die sie dem Fra	Proposition
