Hit	POS	Lemma
1	CARD	1
2	CARD	2
2	CARD	2
3	CARD	3
3	CARD	3
5	CARD	5
8	CARD	8
50	CARD	50
,kranken	NN	krank
.	$.	.
.	$.	.
.	$.	.
.	$.	.
.	$.	.
.	$.	.
.	$.	.
.	$.	.
.	$.	.
.	$.	.
.	$.	.
...	$.	...
'	$(	'
'	$(	'
'	$(	'
'	$(	'
'	$(	'
'	$(	'
/Liebe	NN	lieb
100-m-Kraul	NN	DISCARD
20jährige	ADJA	n-jährig
24jährige	ADJA	n-jährig
26jährigen	ADJA	n-jährig
27jährigen	ADJA	n-jährig
27jähriger	ADJA	n-jährig
28jährige	ADJA	n-jährig
30jährige	ADJA	n-jährig
30jährigen	ADJA	n-jährig
30jähriger	ADJA	n-jährig
31jährige	ADJA	n-jährig
32jährigen	ADJA	n-jährig
34jährige	ADJA	n-jährig
35jährigen	ADJA	n-jährig
38jährigen	ADJA	n-jährig
40jährige	ADJA	n-jährig
40jähriger	ADJA	n-jährig
50-m-Brust	NN	DISCARD
50-m-Kraul	NN	DISCARD
50jährige	ADJA	n-jährig
50jährigen	ADJA	n-jährig
52jährige	ADJA	n-jährig
56jähriger	ADJA	n-jährig
58jährige	ADJA	n-jährig
59jährige	ADJA	n-jährig
61jähriger	ADJA	n-jährig
70jährige	ADJA	n-jährig
70jährigen	ADJA	n-jährig
72jährige	ADJA	n-jährig
72jährigen	ADJA	n-jährig
72jährigen	ADJA	n-jährig
76jähriger	ADJA	n-jährig
85jährige	ADJA	n-jährig
abendländischen	ADJA	abendländisch
abergläubischen	ADJA	abergläubisch
Abg.	NN	DISCARD
abgebildeten	ADJA	abgebildet
abgebrauchten	ADJA	abgebraucht
abgeführte	ADJA	abgeführt
abgehetzten	ADJA	abgehetzt
abgehetzten	ADJA	abgehetzt
abgerissene	ADJA	abgerissen
abgestorbene	ADJA	abgestorben
abgewandten	ADJA	abgewandt
abhängige	ADJA	abhängig
abhängigen	ADJA	abhängig
abstinenter	NN	abstinent
abwägenden	ADJA	abwägend
abweisenden	ADJA	abweisend
abwesenden	ADJA	abwesend
achtbare	ADJA	achtbar
achte	ADJA	acht
achtenswerter	ADJA	achtenswert
achtzigjährige	ADJA	n-jährig
achtzigjähriger	ADJA	n-jährig
ächzenden	ADJA	ächzend
Ackerknechts	NN	DISCARD
adelige	ADJA	adelig
adeliger	ADJA	adelig
adlige	ADJA	adlig
adligen	ADJA	adlig
adorierende	ADJA	adorierend
afrikanische	ADJA	afrikanisch
afrikanischer	ADJA	afrikanisch
agoraphobischen	ADJA	agoraphobisch
ägyptische	ADJA	ägyptisch
ähnlichen	ADJA	ähnlich
ähnlicher	ADJA	ähnlich
ahnungslose	ADJA	ahnungslos
ahnungslosen	ADJA	ahnungslos
aktive	ADJA	aktiv
aktiven	ADJA	aktiv
alberne	ADJA	albern
alkoholkranker	ADJA	alkoholkrank
alleingehende	ADJA	alleingehend
alleinlebenden	ADJA	alleinlebend
alleinreisende	ADJA	alleinreisend
alleinschuldigen	ADJA	alleinschuldig
alleinstehende	ADJA	alleinstehend
alleinstehende	ADJA	alleinstehend
