Question	Question_Type_ID	Type	Length	amprog12374.csv	amprog13903.csv	amprog16663.csv	amprog19475.csv	amprog19726.csv	amprog19868.csv	amprog22056.csv	amprog24489.csv	amprog29941.csv	amprog30218.csv	amprog314.csv	amprog31684.csv	amprog36797.csv	amprog40060.csv	amprog40130.csv	amprog40218.csv	amprog43404.csv	amprog43826.csv	amprog46551.csv	amprog4867.csv	amprog49146.csv	amprog49866.csv	amprog54072.csv	amprog55298.csv	amprog58325.csv	amprog59967.csv	amprog60072.csv	amprog74069.csv	amprog7575.csv	amprog77907.csv	amprog79033.csv	amprog84875.csv	amprog84892.csv	amprog8772.csv	amprog88016.csv	amprog94201.csv
Ich schnipse mit den Fingern.	8	pres	short	NA	NA	5	NA	NA	NA	NA	1	NA	5	NA	5	5	5	5	NA	5	5	NA	NA	NA	5	3	5	NA	NA	NA	5	5	5	NA	NA	5	5	NA	NA
Ich wache auf.	19	pres	short	NA	NA	5	NA	NA	NA	NA	4	NA	5	NA	5	5	5	5	NA	5	5	NA	NA	NA	5	2	5	NA	NA	NA	3	5	5	NA	NA	5	5	NA	NA
Ich schlafe	27	pres	long	NA	NA	5	NA	NA	NA	NA	5	NA	5	NA	5	5	5	5	NA	5	5	NA	NA	NA	5	1	5	NA	NA	NA	4	5	5	NA	NA	5	5	NA	NA
Ich dr	21	pres	short	NA	NA	5	NA	NA	NA	NA	3	NA	5	NA	5	5	5	5	NA	5	5	NA	NA	NA	5	3	5	NA	NA	NA	5	5	5	NA	NA	5	5	NA	NA
Ich trainiere	23	pres	long	5	5	NA	5	4	5	5	NA	5	NA	5	NA	NA	NA	NA	5	NA	NA	4	4	5	NA	NA	NA	4	5	5	NA	NA	NA	5	5	NA	NA	5	5
Ich bastle.	22	pres	long	NA	NA	5	NA	NA	NA	NA	5	NA	5	NA	5	5	4	5	NA	5	5	NA	NA	NA	5	3	5	NA	NA	NA	5	5	5	NA	NA	5	5	NA	NA
Ich wandere.	2	pres	long	NA	NA	5	NA	NA	NA	NA	5	NA	5	NA	5	5	5	5	NA	5	5	NA	NA	NA	5	3	5	NA	NA	NA	4	5	5	NA	NA	5	5	NA	NA
Ich suche den Haust	24	pres	medium	NA	NA	5	NA	NA	NA	NA	5	NA	5	NA	5	5	5	5	NA	5	5	NA	NA	NA	5	3	4	NA	NA	NA	5	5	5	NA	NA	5	5	NA	NA
Ich mache die Steuererkl	16	pres	medium	5	5	NA	5	4	5	5	NA	5	NA	5	NA	NA	NA	NA	5	NA	NA	5	4	4	NA	NA	NA	5	5	5	NA	NA	NA	5	5	NA	NA	5	5
Ich koche eine Suppe.	4	pres	medium	NA	NA	5	NA	NA	NA	NA	5	NA	5	NA	5	5	5	5	NA	5	5	NA	NA	NA	5	3	5	NA	NA	NA	5	5	5	NA	NA	5	5	NA	NA
Ich schlage ein Buch auf.	31	pres	short	NA	NA	5	NA	NA	NA	NA	5	NA	5	NA	5	5	5	5	NA	5	5	NA	NA	NA	5	3	5	NA	NA	NA	5	5	5	NA	NA	5	5	NA	NA
Ich warte.	20	pres	long	5	5	NA	5	5	5	5	NA	5	NA	5	NA	NA	NA	NA	5	NA	NA	5	5	5	NA	NA	NA	3	5	5	NA	NA	NA	5	5	NA	NA	5	5
Ich baue ein Haus.	15	pres	long	NA	NA	5	NA	NA	NA	NA	5	NA	5	NA	5	5	5	5	NA	5	5	NA	NA	NA	5	5	4	NA	NA	NA	5	5	5	NA	NA	5	5	NA	NA
Ich werfe einen Ball.	9	pres	short	5	5	NA	5	4	5	5	NA	5	NA	5	NA	NA	NA	NA	5	NA	NA	5	5	5	NA	NA	NA	5	5	5	NA	NA	NA	5	5	NA	NA	5	5
Ich laufe.	11	pres	long	5	5	NA	5	5	5	5	NA	5	NA	5	NA	NA	NA	NA	5	NA	NA	5	5	5	NA	NA	NA	4	5	5	NA	NA	NA	5	5	NA	NA	5	5
Ich öffne die Flasche. 	1	pres	short	5	5	NA	5	5	5	5	NA	5	NA	5	NA	NA	NA	NA	5	NA	NA	5	5	5	NA	NA	NA	5	5	5	NA	NA	NA	5	5	NA	NA	5	5
Ich backe einen Kuchen.	12	pres	medium	5	5	NA	5	5	5	5	NA	5	NA	5	NA	NA	NA	NA	5	NA	NA	5	5	5	NA	NA	NA	5	5	5	NA	NA	NA	5	5	NA	NA	5	5
Ich lese einen Zeitungsartikel.	28	pres	long	5	5	NA	5	5	5	5	NA	5	NA	5	NA	NA	NA	NA	5	NA	NA	5	5	5	NA	NA	NA	5	5	5	NA	NA	NA	5	5	NA	NA	5	5
Ich binde meine Schuhe.	7	pres	short	5	5	NA	5	5	5	5	NA	5	NA	5	NA	NA	NA	NA	5	NA	NA	5	5	5	NA	NA	NA	5	5	5	NA	NA	NA	5	5	NA	NA	5	5
Ich kaufe ein.	30	pres	medium	5	5	NA	5	5	5	5	NA	5	NA	5	NA	NA	NA	NA	5	NA	NA	5	5	5	NA	NA	NA	5	5	5	NA	NA	NA	5	5	NA	NA	5	5
Ich arbeite.	26	pres	long	5	5	NA	5	5	5	5	NA	5	NA	5	NA	NA	NA	NA	5	NA	NA	5	5	5	NA	NA	NA	5	5	5	NA	NA	NA	5	5	NA	NA	5	5
Ich schreibe einen Brief.	5	pres	medium	5	5	NA	5	5	5	5	NA	5	NA	5	NA	NA	NA	NA	5	NA	NA	5	5	5	NA	NA	NA	5	5	5	NA	NA	NA	5	5	NA	NA	5	5
Ich bin einen Ball am werfen.	9	prog	short	NA	NA	3	NA	NA	NA	NA	1	NA	3	NA	2	2	1	1	NA	2	3	NA	NA	NA	5	1	5	NA	NA	NA	1	4	1	NA	NA	1	1	NA	NA
Ich bin die Flasche am öffnen.	1	prog	short	NA	NA	3	NA	NA	NA	NA	1	NA	3	NA	2	4	1	2	NA	2	3	NA	NA	NA	5	1	4	NA	NA	NA	2	4	1	NA	NA	1	2	NA	NA
Ich bin die Steuererklärung am machen.	16	prog	medium	NA	NA	2	NA	NA	NA	NA	1	NA	3	NA	3	3	1	1	NA	2	2	NA	NA	NA	5	1	5	NA	NA	NA	5	4	1	NA	NA	1	3	NA	NA
Ich bin ein Buch am aufschlagen.	31	prog	short	2	1	NA	3	3	3	2	NA	5	NA	4	NA	NA	NA	NA	4	NA	NA	1	1	1	NA	NA	NA	4	1	4	NA	NA	NA	4	2	NA	NA	3	2
Ich bin meine Schuhe am binden.	7	prog	short	NA	NA	3	NA	NA	NA	NA	2	NA	3	NA	3	4	1	1	NA	2	3	NA	NA	NA	5	1	5	NA	NA	NA	4	4	1	NA	NA	1	2	NA	NA
Ich bin einen Knopf am drücken.	21	prog	short	4	1	NA	2	4	1	3	NA	5	NA	4	NA	NA	NA	NA	5	NA	NA	1	1	1	NA	NA	NA	4	1	4	NA	NA	NA	4	2	NA	NA	3	1
Ich bin einen Kuchen am backen.	12	prog	medium	NA	NA	3	NA	NA	NA	NA	3	NA	4	NA	2	4	1	2	NA	2	3	NA	NA	NA	5	1	4	NA	NA	NA	5	4	2	NA	NA	1	2	NA	NA
Ich bin einen Zeitungsartikel am lesen.	28	prog	long	NA	NA	4	NA	NA	NA	NA	2	NA	3	NA	3	4	2	2	NA	3	3	NA	NA	NA	4	1	5	NA	NA	NA	4	4	1	NA	NA	1	2	NA	NA
Ich bin einen Brief am schreiben.	5	prog	medium	NA	NA	4	NA	NA	NA	NA	1	NA	4	NA	3	4	1	2	NA	2	3	NA	NA	NA	5	1	4	NA	NA	NA	5	4	2	NA	NA	1	2	NA	NA
Ich bin am aufwachen.	19	prog	short	4	1	NA	2	4	1	4	NA	5	NA	4	NA	NA	NA	NA	5	NA	NA	4	2	3	NA	NA	NA	3	2	2	NA	NA	NA	4	2	NA	NA	4	2
Ich bin ein Haus am bauen.	15	prog	long	5	1	NA	4	4	2	4	NA	5	NA	4	NA	NA	NA	NA	5	NA	NA	2	1	2	NA	NA	NA	4	1	4	NA	NA	NA	4	2	NA	NA	3	1
Ich bin eine Suppe am kochen.	4	prog	medium	5	1	NA	3	5	3	4	NA	5	NA	4	NA	NA	NA	NA	5	NA	NA	1	1	2	NA	NA	NA	4	2	5	NA	NA	NA	4	2	NA	NA	3	1
Ich bin mit den Fingern am schnipsen.	8	prog	short	4	1	NA	4	5	2	3	NA	5	NA	4	NA	NA	NA	NA	5	NA	NA	2	2	2	NA	NA	NA	4	2	4	NA	NA	NA	4	3	NA	NA	3	1
Ich bin am schlafen.	27	prog	long	2	1	NA	5	4	4	5	NA	5	NA	4	NA	NA	NA	NA	5	NA	NA	1	1	2	NA	NA	NA	3	2	4	NA	NA	NA	4	3	NA	NA	4	3
Ich bin den Haustürschlüssel am suchen.	24	prog	medium	5	1	NA	4	5	3	4	NA	5	NA	4	NA	NA	NA	NA	5	NA	NA	1	1	2	NA	NA	NA	4	3	5	NA	NA	NA	4	3	NA	NA	3	1
Ich bin am wandern.	2	prog	long	5	1	NA	4	4	4	4	NA	5	NA	4	NA	NA	NA	NA	5	NA	NA	2	1	2	NA	NA	NA	4	4	5	NA	NA	NA	4	3	NA	NA	4	2
Ich bin am warten.	20	prog	long	NA	NA	4	NA	NA	NA	NA	2	NA	3	NA	5	5	2	3	NA	5	3	NA	NA	NA	5	1	5	NA	NA	NA	2	5	4	NA	NA	2	4	NA	NA
Ich bin am laufen.	11	prog	long	NA	NA	5	NA	NA	NA	NA	3	NA	4	NA	5	3	5	2	NA	5	3	NA	NA	NA	4	1	5	NA	NA	NA	2	5	5	NA	NA	1	5	NA	NA
Ich bin am basteln.	22	prog	long	5	1	NA	5	5	3	5	NA	5	NA	4	NA	NA	NA	NA	5	NA	NA	4	2	3	NA	NA	NA	4	2	5	NA	NA	NA	4	3	NA	NA	4	4
Ich bin am einkaufen.	30	prog	medium	NA	NA	4	NA	NA	NA	NA	2	NA	4	NA	5	5	5	4	NA	5	3	NA	NA	NA	5	1	5	NA	NA	NA	5	5	5	NA	NA	2	4	NA	NA
Ich bin am trainieren	23	prog	long	NA	NA	4	NA	NA	NA	NA	2	NA	4	NA	5	5	5	5	NA	5	3	NA	NA	NA	5	1	5	NA	NA	NA	4	5	5	NA	NA	5	4	NA	NA
Ich bin am arbeiten.	26	prog	long	NA	NA	5	NA	NA	NA	NA	2	NA	4	NA	5	5	5	2	NA	5	4	NA	NA	NA	5	1	5	NA	NA	NA	5	5	5	NA	NA	5	5	NA	NA
