Question	Question_Type_ID	Type	Length	Prog_Obj	amprog12374.csv	amprog13903.csv	amprog16663.csv	amprog19475.csv	amprog19726.csv	amprog19868.csv	amprog22056.csv	amprog24489.csv	amprog29941.csv	amprog30218.csv	amprog314.csv	amprog31684.csv	amprog36797.csv	amprog40060.csv	amprog40130.csv	amprog40218.csv	amprog43404.csv	amprog43826.csv	amprog46551.csv	amprog4867.csv	amprog49146.csv	amprog49866.csv	amprog54072.csv	amprog55298.csv	amprog58325.csv	amprog59967.csv	amprog60072.csv	amprog74069.csv	amprog7575.csv	amprog77907.csv	amprog79033.csv	amprog84875.csv	amprog84892.csv	amprog8772.csv	amprog88016.csv	amprog94201.csv
Ich wandere.	2	pres	long	NA	NA	NA	498	NA	NA	NA	NA	500	NA	947	NA	866	1000	833	697	NA	1000	905	NA	NA	NA	988	1	500	NA	NA	NA	863	686	751	NA	NA	896	826	NA	NA
Ich bin am wandern.	2	prog	long	NO	852	394	NA	866	814	816	753	NA	810	NA	805	NA	NA	NA	NA	848	NA	NA	742	743	921	NA	NA	NA	608	744	987	NA	NA	NA	244	612	NA	NA	755	633
Ich laufe.	11	pres	long	NA	779	98	NA	500	560	752	512	NA	500	NA	712	NA	NA	NA	NA	672	NA	NA	500	500	968	NA	NA	NA	500	781	879	NA	NA	NA	87	575	NA	NA	655	500
Ich bin am laufen.	11	prog	long	NO	NA	NA	500	NA	NA	NA	NA	500	NA	689	NA	684	638	575	772	NA	842	763	NA	NA	NA	991	500	500	NA	NA	NA	711	609	763	NA	NA	750	724	NA	NA
Ich baue ein Haus.	15	pres	long	NA	NA	NA	681	NA	NA	NA	NA	500	NA	911	NA	991	1000	975	1000	NA	1000	1000	NA	NA	NA	997	500	500	NA	NA	NA	1000	999	901	NA	NA	854	973	NA	NA
Ich bin ein Haus am bauen.	15	prog	long	YES	963	594	NA	994	986	775	1000	NA	1000	NA	921	NA	NA	NA	NA	1000	NA	NA	992	899	981	NA	NA	NA	871	1000	989	NA	NA	NA	500	500	NA	NA	1000	500
Ich warte.	20	pres	long	NA	435	59	NA	500	840	872	752	NA	500	NA	801	NA	NA	NA	NA	500	NA	NA	758	394	967	NA	NA	NA	500	826	1000	NA	NA	NA	500	579	NA	NA	499	500
Ich bin am warten.	20	prog	long	NO	NA	NA	500	NA	NA	NA	NA	746	NA	732	NA	569	716	991	486	NA	846	911	NA	NA	NA	747	500	500	NA	NA	NA	645	673	500	NA	NA	685	722	NA	NA
Ich bastle.	22	pres	long	NA	NA	NA	500	NA	NA	NA	NA	1	NA	857	NA	686	758	754	500	NA	1000	628	NA	NA	NA	984	1	500	NA	NA	NA	702	744	500	NA	NA	876	500	NA	NA
Ich bin am basteln.	22	prog	long	NO	300	225	NA	721	589	816	502	NA	500	NA	769	NA	NA	NA	NA	824	NA	NA	825	579	262	NA	NA	NA	500	709	977	NA	NA	NA	188	659	NA	NA	396	500
Ich trainiere	23	pres	long	NA	340	227	NA	500	760	756	744	NA	643	NA	694	NA	NA	NA	NA	664	NA	NA	776	672	913	NA	NA	NA	500	677	940	NA	NA	NA	372	795	NA	NA	625	500
Ich bin am trainieren	23	prog	long	NO	NA	NA	500	NA	NA	NA	NA	638	NA	670	NA	996	378	568	500	NA	1000	948	NA	NA	NA	780	500	500	NA	NA	NA	865	607	500	NA	NA	754	694	NA	NA
Ich arbeite.	26	pres	long	NA	845	190	NA	500	619	867	1000	NA	792	NA	719	NA	NA	NA	NA	892	NA	NA	785	730	875	NA	NA	NA	500	873	1000	NA	NA	NA	503	755	NA	NA	821	500
Ich bin am arbeiten.	26	prog	long	NO	NA	NA	500	NA	NA	NA	NA	705	NA	672	NA	748	958	709	805	NA	809	929	NA	NA	NA	989	500	500	NA	NA	NA	793	636	928	NA	NA	885	798	NA	NA
Ich schlafe	27	pres	long	NA	NA	NA	500	NA	NA	NA	NA	500	NA	755	NA	838	993	647	500	NA	1000	909	NA	NA	NA	988	500	500	NA	NA	NA	954	669	896	NA	NA	675	973	NA	NA
Ich bin am schlafen.	27	prog	long	NO	833	329	NA	793	781	902	768	NA	666	NA	826	NA	NA	NA	NA	751	NA	NA	776	749	79	NA	NA	NA	573	970	982	NA	NA	NA	249	791	NA	NA	807	500
Ich lese einen Zeitungsartikel.	28	pres	long	NA	79	500	NA	483	541	742	497	NA	229	NA	868	NA	NA	NA	NA	341	NA	NA	412	451	343	NA	NA	NA	448	497	986	NA	NA	NA	245	432	NA	NA	128	500
Ich bin einen Zeitungsartikel am lesen.	28	prog	long	YES	NA	NA	257	NA	NA	NA	NA	1000	NA	654	NA	573	420	652	367	NA	682	592	NA	NA	NA	459	500	500	NA	NA	NA	653	417	500	NA	NA	861	704	NA	NA
Ich koche eine Suppe.	4	pres	medium	NA	NA	NA	500	NA	NA	NA	NA	500	NA	615	NA	625	699	567	683	NA	1000	779	NA	NA	NA	500	500	500	NA	NA	NA	586	707	478	NA	NA	760	791	NA	NA
Ich bin eine Suppe am kochen.	4	prog	medium	YES	144	639	NA	775	670	688	508	NA	500	NA	582	NA	NA	NA	NA	667	NA	NA	398	568	611	NA	NA	NA	409	589	693	NA	NA	NA	252	603	NA	NA	308	500
Ich schreibe einen Brief.	5	pres	medium	NA	232	333	NA	495	444	721	746	NA	441	NA	642	NA	NA	NA	NA	500	NA	NA	622	654	877	NA	NA	NA	282	645	851	NA	NA	NA	230	728	NA	NA	501	500
Ich bin einen Brief am schreiben.	5	prog	medium	YES	NA	NA	500	NA	NA	NA	NA	792	NA	659	NA	702	581	547	500	NA	820	763	NA	NA	NA	786	500	500	NA	NA	NA	391	594	727	NA	NA	713	633	NA	NA
Ich backe einen Kuchen.	12	pres	medium	NA	245	585	NA	640	398	731	511	NA	500	NA	564	NA	NA	NA	NA	815	NA	NA	620	655	975	NA	NA	NA	500	752	973	NA	NA	NA	644	500	NA	NA	688	500
