Belegtext	Animacy_finegrained	Lemma	PoS	Ort	Jahr	upperCase	Sprachraum.ost.west	weiblich	Kompositum	Period	Animacy3	Animacy	Freq
Abent	konkret	abend	NN	Alme	1630	TRUE	0		0	3	concrete	1	7
Abent	abstrakt Maß	abend	NN	Alme	1630	TRUE	0		0	3	abstract	0	7
Abent	abstrakt	abend	NN	Georgenthal	1597	TRUE	1		0	1	abstract	0	7
abent	abstrakt	abend	NN	Jever	1592	FALSE	0		0	1	abstract	0	7
auendt	abstrakt	abend	NN	Meldorf	1618	FALSE	0		0	2	abstract	0	7
abendt	abstrakt	abend	NN	Perleberg	1588	FALSE	1		0	1	abstract	0	7
abendts	abstrakt	abend	NN	Riedlingen	1596	FALSE	0		0	1	abstract	0	7
Affgodt	übermenschlich Teufel	abgott	NN	Meldorf	1618	TRUE	0	n	0	2	animate	4	1
Abschaidens	abstrakt	abscheiden	NN	München	1600	TRUE	1		0	1	abstract	0	1
Abscheuch	abstrakt	abscheu	NN	Riedlingen	1596	TRUE	0		0	1	abstract	0	1
Abschid	abstrakt	abschied	NN	Riedlingen	1596	TRUE	0		0	1	abstract	0	1
abdritts	abstrakt	abtritt	NN	Günzburg	1613	FALSE	0		0	2	abstract	0	1
abwegh	abstrakt	abweg	NN	Hamm	1592	FALSE	0		0	1	abstract	0	1
Achsel	konkret Körperteil	achsel	NN	Riedlingen	1596	TRUE	0		0	1	concrete	1	2
Achsel	konkret Körperteil	achsel	NN	Riedlingen	1596	TRUE	0		0	1	concrete	1	2
achßeln	konkret Körperteil	achseln	NN	Perleberg	1588	FALSE	1		0	1	concrete	1	1
Achten	abstrakt	achte	NN	Riedlingen	1596	TRUE	0		0	1	abstract	0	1
Achtel	abstrakt	achtel	NN	Georgenthal	1597	TRUE	1		0	1	abstract	0	1
Adel	abstrakt	adel	NN	Alme	1630	TRUE	0		0	3	abstract	0	1
edern	konkret Körperteil	ader	NN	Güstrow	1615	FALSE	1		0	2	concrete	1	2
ederen	konkret Körperteil	ader	NN	Güstrow	1615	FALSE	1		0	2	concrete	1	2
Alb	konkret Ort	alb	NN	Riedlingen	1596	TRUE	0		0	1	concrete	1	1
Altar	konkret	altar	NN	Bamberg	1628	TRUE	1		0	3	concrete	1	1
Allte	menschlich	alte	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	1
Alters	abstrakt	alter	NN	Georgenthal	1597	TRUE	1		0	1	abstract	0	2
alters	abstrakt	alter	NN	München	1600	FALSE	1		0	1	abstract	0	2
Amen	abstrakt	amen	NN	Güstrow	1615	TRUE	1		0	2	abstract	0	1
Ammanß	menschlich	ammann	NB	Riedlingen	1596	TRUE	0	n	0	1	animate	4	3
Ammanß	menschlich	ammann	NB	Riedlingen	1596	TRUE	0	n	0	1	animate	4	3
Amman	menschlich	ammann	NB	Riedlingen	1596	TRUE	0	n	0	1	animate	4	3
Ammen	menschlich	amme	NN	Gaugrehweiler	1610	TRUE	0	j	0	2	animate	3	4
Ammen	menschlich	amme	NN	Gaugrehweiler	1610	TRUE	0	j	0	2	animate	3	4
Ammen	menschlich	amme	NN	Gaugrehweiler	1610	TRUE	0	j	0	2	animate	3	4
Ambt	konkret	amt	NN	Gaugrehweiler	1610	TRUE	0		0	2	concrete	1	7
Ampt	abstrakt	amt	NN	Georgenthal	1597	TRUE	1		0	1	abstract	0	7
Ambte	abstrakt	amt	NN	Rosenburg	1618	TRUE	1		0	2	abstract	0	7
Ambte	abstrakt	amt	NN	Rosenburg	1618	TRUE	1		0	2	abstract	0	7
Ambt	abstrakt	amt	NN	Rosenburg	1618	TRUE	1		0	2	abstract	0	7
Ambte	abstrakt	amt	NN	Rosenburg	1618	TRUE	1		0	2	abstract	0	7
Ambte	abstrakt	amt	NN	Rosenburg	1618	TRUE	1		0	2	abstract	0	7
Ambtman	menschlich	amtmann	NB	Lemberg	1630	TRUE	0	n	1	3	animate	4	1
Ambtschreiber	menschlich	amtschreiber	NB	Rosenburg	1618	TRUE	1	n	1	2	animate	4	1
Amptsknechts	menschlich	amtsknecht	NB	Georgenthal	1597	TRUE	1	n	1	1	animate	4	1
Anderen	menschlich	ander	NN	Alme	1630	TRUE	0		0	3	animate	2	10
Ander	abstrakt	ander	NN	Günzburg	1613	TRUE	0		0	2	abstract	0	10
anderen	menschlich	ander	NN	Hamm	1592	FALSE	0		0	1	animate	2	10
andern	menschlich	ander	NN	München	1600	FALSE	1		0	1	animate	2	10
anderen	menschlich	ander	NN	München	1600	FALSE	1		0	1	animate	2	10
Andern	abstrakt	ander	NN	Riedlingen	1596	TRUE	0		0	1	abstract	0	10
Andern	abstrakt	ander	NN	Schweinfurt	1616	TRUE	1		0	2	abstract	0	10
an- fall	abstrakt	anfall	NN	Güstrow	1615	FALSE	1		0	2	abstract	0	3
