File	Title	Author	Texttype	Year
achenwall_staatswissenschaft_1749_minimal	Abriß der neuesten Staatswissenschaft der vornehmsten Europäischen Reiche und Republicken	Gottfried Achenwall	Wissenschaft	1749
albertinus_landtstoertzer01_1615_minimal	Der Landtstörtzer: Gusman von Alfarche oder Picaro genannt/ dessen wunderbarliches/ abenthewrlichs vnd possirlichs Leben/ was gestallt er schier alle ort der Welt durchloffen/ allerhand Ständt/ Dienst vnd Aembter versucht/ vil guts vnd böses begangen vnd außgestanden/ jetzt reich/ bald arm/ vnd widerumb reich vnd gar elendig worden/ doch letztlichen sich bekehrt hat/ hierin beschriben wirdt	Aegidius Albertinus	Belletristik	1615
anhaltkoethen_fruchtbringende_1628_minimal	Kurtzer Bericht Von der Fruchtbringenden Gesellschafft Vorhaben/ auch dero Nahmen/ Gemählde und Wörter	Ludwig von Anhalt-Köthen	Wissenschaft	1628
anthus_esskunst_1838_minimal	Vorlesungen über Esskunst	Gustav Blumröder	Gebrauchsliteratur	1838
anzengruber_gwissenswurm_1874_minimal	Der G'wissenswurm	Ludwig Anzengruber	Belletristik	1874
arends_exter_1708_minimal	Eines zehen-jährigen Knabens Christlieb Leberecht von Exter/ aus Zerbst/ Christlich geführter Lebens-Lauff 	Arnds Wilhelm Erasmus	Gebrauchsliteratur	1708
arndt_christentum01_1610_minimal	Von wahrem Christenthumb	Johann Arndt	Gebrauchsliteratur	1610
arndt_christentum02_1610_minimal	Vom wahren Christenthumb	Johann Arndt	Gebrauchsliteratur	1610
arndt_christentum03_1610_minimal	Vom wahren Christenthumb	Johann Arndt	Gebrauchsliteratur	1610
arnold_cyprian_1700_minimal	Erklärung/ Vom gemeinen Secten-wesen/ Kirchen- und Abendmahl-gehen; Wie auch Vom recht-Evangel. Lehr-Amt/ und recht-Christl. Freyheit	Gottfried Arnold	Wissenschaft	1700
arnold_ketzerhistorie02_1700_minimal	Gottfrid Arnolds Fortsetzung und Erläuterung Oder Dritter und Vierdter Theil der unpartheyischen Kirchen- und Ketzer-Historie	Gottfried Arnold	Wissenschaft	1700
aston_emancipation_1846_minimal	Meine Emancipation, Verweisung und Rechtfertigung	Louise Aston	Gebrauchsliteratur	1846
aston_leben_1847_minimal	Aus dem Leben einer Frau	Louise Aston	Gebrauchsliteratur	1847
bacmeister_predigt_1614_minimal	Leichpredigt/ Bey der Volckreichen und ansehnlichen Begrebnuß des Weiland Edlen/ Gestrengen und Ehrnuesten Tessen Von Parsow/ Fürstlichen Meckelnburgischen bestalten Obristen und geheimen Rath/ auff Parsow und Vpall Erbgesessen.	Lucas Bacmeister	Gebrauchsliteratur	1614
barclay_argenis_1626_minimal	Johann Barclaÿens Argenis Deutsch gemacht durch Martin Opitzen	John Barclay	Belletristik	1626
basteln_kichote_1648_minimal	Don Kichote de la Mantzscha	Cervantes Miguel de	Belletristik	1648
bauller_lasterspiegel_1681_minimal	Hell-Polirter Laster-Spiegel/ Underschiedlich in sich haltend alle und jede Fugienda, Was ein Christ Böses fliehen soll	Johann Jacob Bauller	Gebrauchsliteratur	1681
becher_narrheit_1682_minimal	Närrische Weißheit Und Weise Narrheit	Johann Joachim Becher	Wissenschaft	1682
benner_herrnhuterey02_1747_minimal	Die Herrnhuterey in ihrer Schalkheit	Johann Hermann Benner	Wissenschaft	1747
benner_herrnhuterey03_1748_minimal	Herrnhuterey in ihrer Schalkheit	Johann Hermann Benner	Wissenschaft	1748
berlepsch_alpen_1861_minimal	Die Alpen in Natur- und Lebensbildern	Hermann Alexander von Berlepsch	Gebrauchsliteratur	1861
bierbaum_stilpe_1897_minimal	Stilpe	Otto Julius Bierbaum	Belletristik	1897
birken_gespraechspiel_1665_minimal	Pegnesische Gesprächspiel-Gesellschaft von Nymfen und Hirten	Sigmund von Birken	Belletristik	1665
birken_sonntagswandel_1681_minimal	Heiliger Sonntags-Handel und Kirch-Wandel	Sigmund von Birken	Gebrauchsliteratur	1681
blumenbach_anatomie_1815_minimal	Handbuch der vergleichenden Anatomie	Johann Friedrich Blumenbach	Wissenschaft	1815
blumenbach_physiologie_1795_minimal	Anfangsgründe der Physiologie	Johann Friedrich Blumenbach	Wissenschaft	1795
bodmer_sammlung02_1741_minimal	Sammlung Critischer, Poetischer, und andrer geistvollen Schriften	Johann Jacob Bodmer	Belletristik	1741
bodmer_sammlung03_1742_minimal	Sammlung Critischer, Poetischer, und anderer geistvollen Schriften	Johann Jacob Bodmer	Belletristik	1742
bodmer_sammlung04_1742_minimal	Sammlung Critischer, Poetischer, und anderer geistvollen Schriften	Johann Jacob Bodmer	Belletristik	1742
bodmer_sammlung07_1743_minimal	Sammlung Critischer, Poetischer, und anderer geistvollen Schriften	Johann Jacob Bodmer	Belletristik	1743
bodmer_sammlung09_1743_minimal	Sammlung Critischer, Poetischer, und anderer geistvollen Schriften	Johann Jacob Bodmer	Belletristik	1743
bodmer_sammlung12_1744_minimal	Sammlung Critischer, Poetischer, und anderer geistvollen Schriften	Johann Jacob Bodmer	Belletristik	1744
boerne_paris01_1832_minimal	Briefe aus Paris	Ludwig Börne	Belletristik	1832
bose_electricitaet_1744_minimal	Die Electricität nach ihrer Entdeckung und Fortgang	Georg Matthias Bose	Wissenschaft	1744
brandes_naturlehre01_1830_minimal	Vorlesungen über die Naturlehre	Heinrich Wilhelm Brandes	Gebrauchsliteratur	1830
brandes_naturlehre02_1831_minimal	Vorlesungen über die Naturlehre	Heinrich Wilhelm Brandes	Gebrauchsliteratur	1831
brandes_naturlehre03_1832_minimal	Vorlesungen über die Naturlehre	Heinrich Wilhelm Brandes	Gebrauchsliteratur	1832
brentano_kasperl_1838_minimal	Geschichte vom braven Kasperl und dem schönen Annerl	Clemens Brentano	Belletristik	1838
brockes_vergnuegen05_1736_minimal	Jrdisches Vergnügen in Gott	Barthold Heinrich Brockes	Belletristik	1736
brockes_vergnuegen06_1740_minimal	Jrdisches Vergnügen in Gott, bestehend in Physicalisch- und Moralischen Gedichten	Barthold Heinrich Brockes	Belletristik	1740
buchholtz_herkules01_1659_minimal	Des Christlichen Teutschen Groß-Fürsten Herkules Und der Böhmischen Königlichen Fräulein Valjska Wunder-Geschichte	Andreas Heinrich Bucholtz	Belletristik	1659
buchner_theoria03_1685_minimal	Theoria Et Praxis Artilleriæ	Johann Siegmund Buchner	Wissenschaft	1685
buechner_werke_1879_minimal	Sämmtliche Werke und handschriftlicher Nachlaß	Georg Büchner	Belletristik	1879
buerger_gedichte_1778_minimal	Gedichte	Gottfried August Bürger	Belletristik	1778
calvi_beutelschneider01_1627_minimal	Beutelschneider/ Oder Neue/ warhaffte/ vnd eigentliche Beschreibung Der Diebs Historien	François de Calvi	Belletristik	1627
calvi_beutelschneider02_1627_minimal	Beutelschneider/ Oder Neue/ warhaffte/ vnd eigentliche Beschreibung Der Diebs Historjen	François de Calvi	Belletristik	1627
campe_theophron01_1783_minimal	Theophron, oder der erfahrne Rathgeber für die unerfahrne Jugend	Joachim Heinrich Campe	Gebrauchsliteratur	1783
campe_theophron02_1783_minimal	Theophron, oder der erfahrne Rathgeber für die unerfahrne Jugend	Joachim Heinrich Campe	Gebrauchsliteratur	1783
