Nr;Text_vorher;UNG;Text_danach;Textstelle;Sprachraum;Jahr;Textsorte;Textstelle5;Erstglied;Lemma;NOM_V;FVG;Fremdwortbasis;Praefix;Numerus;Simplexbasis;Konstruktion;als_praep_Kompl;Prep_Det_Nom;Adj;Genitiv;Det;Prep;Anmerkungen
415;gleichen/ zugefallen/ allerley Posturen/ allerley ;abbildungen; Maenschlicher gestalt vnd  Leiber mahlen/ dahero d;WOBD-1650-KT-097.txt;WOBD;1650;KT;097.txt;NA;Abbildung;NA;NA;NEIN;ab;PL;NEIN;DET_NOM;NEIN;NA;NA;postnom;s;NA;NA
1227;stattet/  und er also auf keinerley Weise mit der ;Abbildung; fortkommen koennen/ soll der Heyland seyn bewogen ;OMD-1710-KT-137.txt;OMD;1710;KT;137.txt;NA;Abbildung;NA;NA;NEIN;ab;SG;NEIN;PREP_DET_NOM;NEIN;NA;NA;NA;b;mit;NA
1154;ns alle bekehren/  lieber HErre GOtt! Amen.   <h1>;Abhandlung;.</h1>  ES hat das unheilige Papstthum/  meine Lie;OMD-1680-KT-neu.txt;OMD;1680;KT;neu.txt;NA;Abhandlung;NA;NA;NEIN;ab;SG;NEIN;NOM;NEIN;NA;NA;NA;KEIN;NA;NA
1165;uns alle bekehren/  liebe HErre GOTT! Amen.   <h1>;Abhandlung;.</h1> SO erhellet demnach das verruchte und gottl;OMD-1680-KT-neu.txt;OMD;1680;KT;neu.txt;NA;Abhandlung;NA;NA;NEIN;ab;SG;NEIN;NOM;NEIN;NA;NA;NA;KEIN;NA;NA
1236;h GOTTES Bilde! *(Psalm.  XVII, 15.)* Amen.   <h1>;Abhandlung;.</h1>  ES sind wohl eh auch Heilige und Geliebte ;OMD-1710-KT-137.txt;OMD;1710;KT;137.txt;NA;Abhandlung;NA;NA;NEIN;ab;SG;NEIN;NOM;NEIN;NA;NA;NA;KEIN;NA;NA
2339; werden/ vnd also auff vnnd ab/ nach mehrung vnnd ;abkuertzung; der Sum_/ biss auff funfftzehen Guelden/ aber ein j;WMD-1590-ST-070.txt;WMD;1590;ST;070.txt;NA;Abkuerzung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;nach;NA
1767;t den mehristen TheilMenschen  geseeligt/ vnd die ;Abkuertzung; der zeitlichen Taeg mit dem ewigen Leben  ersetzt/;OOBD-1680-KT-110.txt;OOBD;1680;KT;110.txt;NA;Abkuerzung;NA;NA;NEIN;ab;SG;NEIN;DET_NOM_GEN;NEIN;NA;NA;postnom;b;NA;NA
1869;rs  abgetheilet worden. Hat sich nun bey solcher  ;Abledigung;/ soviel die Spanische Niederlande betrifft/ kein ;OOBD-1710-ST-130.txt;OOBD;1710;ST;130.txt;NA;Abledigung;NA;NA;NEIN;ab;SG;NEIN;PREP_DET_NOM;NEIN;NA;NA;NA;s;bei;NA
5000;vnd ich jtzt den Anfang gemacht von diesen so ich zu Regenspurg auff dem Reichstag[lang-s!] gethan/ dorinnen denn die furnemesten Heuptartickel vnser Christlichen Religion/ mit;ablenung;der gegenlehr/ einfeltig vnd deutlich erkleret werden/ als hab E. F. G. als ein sonderliche Patronin der Christenheit ich die selben hiemit vnterthenigst dediciren vnd;OMD-1590-KT-066.txt;OMD;1590;KT;066.txt;NA;Ablehnung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;mit;NA
246;n fuergehaltenen Artickern greiffen/ ein kurtze ;ab laynung; thun/ damit die oren vn_ hertzen etlicher etliche;NOBD-1530-KT-027.txt;NOBD;1530;KT;027.txt;NA;Ableinung;NA;NA;NEIN;ab;SG;NEIN;DET_ADJ_NOM__V;NEIN;NA;kurz;NA;u;NA;NA
2953;fordert worden/ vnd scharff gefraget/ warumb  bey ;abmahlung; dess Juengsten Gerichts er  vns so vielerley gestal;WOBD-1650-KT-097.txt;WOBD;1650;KT;097.txt;NA;Abmalung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;bei;NA
2935;rer bissweilen langen wehrungt  vnd gleichfoermiger ;abnemung; am schein vnd an der groesse: weren sie nur n[???];WOBD-1620-ST-078.txt;WOBD;1620;ST;078.txt;NA;Abnehmung;NA;NA;NEIN;ab;SG;NEIN;ADJ_NOM;NEIN;NA;gleichfoermig;NA;KEIN;NA;NA
1625; Maria auss prophetischen Geist/ oder vorgehender ;Abredung; mit jhrem Sohn/ deme der zukuenfftige Weinmangel b;OOBD-1650-KT-neu.txt;OOBD;1650;KT;neu.txt;NA;Abredung;NA;NA;NEIN;ab;SG;NEIN;ADJ_NOM;NEIN;NA;vorgehend;NA;KEIN;NA;NA
778;es Heil. Abendmahls unter beyderley Gestalt/  von ;Abschaffung; der Bilder und anderer Paebstlichen *Ceremonien &c;NOBD-1710-ST-135.txt;NOBD;1710;ST;135.txt;NA;Abschaffung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;von;NA
800;il beyde auf eine sichere Religions=Freyheit  und ;Abschaffung; der *spe-cifici*rten  Beschwehrnuessen bestanden. ;NOBD-1710-ST-135.txt;NOBD;1710;ST;135.txt;NA;Abschaffung;NA;NA;NEIN;ab;SG;NEIN;NOM_GEN;NEIN;NA;NA;postnom;KEIN;NA;NA
3350;enen/  als braechten sie solche sachen fuer/ die zu ;abschaffung;der missbraeuche/ eingefuehrter gottloser |sitten und gewohnheiten/  auch annemmung reiner Lehre/ nicht uebel dieneten/  noch ungeschickt waeren;WOBD-1710-KT-neu.txt;WOBD;1710;KT;neu.txt;NA;Abschaffung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN_V;NEIN;NA;NA;postnom;KEIN;zu;NA
3463;e Liechter auffgeschwungen hat/ so muss es doch in ;Abschneidung;  seiner Federn/ biss zu der aller=niedrigsten sche;WOBD-1710-ST-133.txt;WOBD;1710;ST;133.txt;NA;Abschneidung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;in;NA
3362;n  *rup*tur gekommen/ haben sie durch rechtmaessige ;absonderung; von diesem *Separati*stischen gesinde recht gezei;WOBD-1710-KT-neu.txt;WOBD;1710;KT;neu.txt;NA;Absonderung;NA;NA;NEIN;ab;SG;NEIN;PREP_ADJ_NOM;JA;NA;rechtmaessig;postnom;KEIN;durch;NA
1478;nder den Haenedn zu wachsen/ dass es nit  allein zu ;Abspeisung; so viel tausent Personen genug sey/ Sondern auch ;OOBD-1590-KT-056.txt;OOBD;1590;KT;056.txt;NA;Abspeisung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;zu;NA
1479;rsonen genug sey/ Sondern auch endlichen nach der ;Abspeisung; mehr vberbleiben muss/ dann anfangs  ist vorhanden;OOBD-1590-KT-056.txt;OOBD;1590;KT;056.txt;NA;Abspeisung;NA;NA;NEIN;ab;SG;NEIN;PREP_DET_NOM;NEIN;NA;NA;NA;b;nach;NA
2620;anische Monarchie voellig/  und ohne die geringste ;Abtheilung;/ den zween juengeren Printzen des Dauphins von Fra;WMD-1710-ST-142.txt;WMD;1710;ST;142.txt;NA;Abteilung;NA;NA;NEIN;ab;SG;NEIN;PREP_DET_ADJ_NOM;NEIN;JA;gering;NA;b;ohne;NA
1792;rden muss wie dises *Caesius* im I.  Theil und I. ;Abtheilung; seines Helicons wol gelehret/ nicht weniger auch ;OOBD-1680-ST-111.txt;OOBD;1680;ST;111.txt;NA;Abteilung;NA;NA;NEIN;ab;SG;NEIN;PREP_DET_NOM_GEN;NEIN;NA;NA;postnom;b;in;NA
2388;g/ doch mit Mass/ vnnd Jnnhalt dess Vertrags/ sampt ;Abtrettung; der Statt Odenburg/ kommen lassen.   13. Diesen V;WMD-1620-ST-088.txt;WMD;1620;ST;088.txt;NA;Abtretung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;samt;NA
1780;h in Jtalianischen Gesaengen etwas von dergleichen ;Abwechselung; gesehen.  Die Maennlichen Verse sind an sich selbs;OOBD-1680-ST-111.txt;OOBD;1680;ST;111.txt;NA;Abwechslung;NA;NA;NEIN;ab;SG;NEIN;PREP_ADJ_NOM;NEIN;NA;dergleichen;NA;KEIN;von;NA
1790;es *metri* wird dadurch beflecket. Die gewuenschte ;Abwechselung;  der kurzt= und langen Sylben wird verhindert/ un;OOBD-1680-ST-111.txt;OOBD;1680;ST;111.txt;NA;Abwechslung;NA;NA;NEIN;ab;SG;NEIN;DET_ADJ_NOM;NEIN;NA;gewuenscht;NA;b;NA;NA
1779; den Preis/ wegen des Unterschieds und lieblicher ;Abwechselung; der Maenn= und Weiblichen Verse/ so bey den Jtalia;OOBD-1680-ST-111.txt;OOBD;1680;ST;111.txt;NA;Abwechslung;NA;NA;NEIN;ab;SG;NEIN;ADJ_NOM_GEN;NEIN;NA;lieblich;postnom;KEIN;NA;NA
1721; auff der eussersten  Graenitz Post/ jedesmals ein ;abwechslung; beschehen/ dass Fehleyss wol gerauchet/  vnd nachma;OOBD-1650-ST-094.txt;OOBD;1650;ST;094.txt;NA;Abwechslung;NA;NA;NEIN;ab;SG;NEIN;DET_NOM;NEIN;NA;NA;NA;u;NA;NA
1782;d ohne gewissen Klang beschihet wodurch zwar die ;Abwechselung; des Thons erhalten/  aber von gebundener ziemlich;OOBD-1680-ST-111.txt;OOBD;1680;ST;111.txt;NA;Abwechslung;NA;NA;NEIN;ab;SG;NEIN;DET_NOM_GEN;NEIN;NA;NA;postnom;b;NA;NA
101;lischen Religion in Schlesien/  deren *Fatis* und ;Abwechslungen;.</h1>    §. 1.   SObald *D. Martini Lutheri,* Pro;NOBD-1710-ST-135.txt;NOBD;1710;ST;135.txt;NA;Abwechslung;NA;NA;NEIN;ab;PL;NEIN;NOM;NEIN;NA;NA;NA;KEIN;NA;NA
152;ften/ so unser Leben vergnueget/  weilen allerhand ;Abwechselungen; auf das SchauTheatrum  darinnen gestellet werden/;OMD-1680-ST-121.txt;OMD;1680;ST;121.txt;NA;Abwechslung;NA;NA;NEIN;ab;PL;NEIN;PREP_DET_NOM;NEIN;NA;NA;NA;s;weilen;NA
1715;bey dem GOttsdienst ein absonderliches Gebett fuer ;abwendung; der Pest/ dem Volck offentlich vnnd laut vorbette;OOBD-1650-ST-094.txt;OOBD;1650;ST;094.txt;NA;Abwendung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;fuer;NA
2992;sambt noch gute anzeigung vnd Hoffnung machen/ zu ;Abwendung; der Truebsal vnd grossen Vnheils/ vielleicht durch;WOBD-1650-ST-095.txt;WOBD;1650;ST;095.txt;NA;Abwendung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;zu;NA
3051;lgen/ vnd entweder zu Versterckung/  oder aber zu ;Abwendung; der Bedeutung dienen koennen. Der *Effe-ctus*  ver;WOBD-1650-ST-095.txt;WOBD;1650;ST;095.txt;NA;Abwendung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;NEIN;NA;NA;postnom;KEIN;zu;NA
2986; darbey thun/ vnd Gott den Herrn vmb Vaetterliche  ;abwendung; aller angetraewten Straffen ernstlich bitten / vnd;WOBD-1650-ST-095.txt;WOBD;1650;ST;095.txt;NA;Abwendung;NA;NA;NEIN;ab;SG;NEIN;PREP_ADJ_NOM_GEN_V;NEIN;NA;vaeterlich;postnom;KEIN;um;NA
